Id,Title, Artist, Year, Duo, Explicit, Date Added, Styles, Languages
39885,Do You Like What You See,Ivy Quainoo,2012,0,0,2012-07-31,"Pop,Soul",English
47973,Doin' What She Likes,Blake Shelton,2014,0,0,2018-04-20,Country,English
19089,Don't Tell Me What to Do,Pam Tillis,1990,0,0,2017-04-21,Country,English
37974,Down For Whatever,Ice Cube,1993,0,1,2012-07-16,Rap,English
38748,Down For Whatever,Kelly Rowland,2011,0,0,2013-03-07,"Dance,Pop,R&B",English
49684,Flashdance (What A Feeling),Glee,2012,0,0,2015-09-22,"Pop,TV & movie soundtrack,Musical,80s",English
10091,Flashdance...What A Feeling,Irene Cara,1983,0,0,2007-05-04,"TV & movie soundtrack,Pop,80s",English
54550,For What It's Worth,Liam Gallagher,2017,0,0,2017-11-29,"Pop,Rock",English
29293,Get What You Got Comin',Van Zant,2001,0,0,2012-05-25,"Country,Rock",English
35380,Give U What You Want (Fa Sure),Chico DeBarge,1999,0,0,2013-09-21,"R&B,Soul",English
35462,Guy What Takes His Time,Christina Aguilera,2010,0,0,2012-02-10,"Musical,TV & movie soundtrack,Blues,Jazz,Oldies",English
9040,Heaven\'s What I Feel,Gloria Estefan,1998,0,0,2018-05-09,"Pop,Soft rock,TV & movie soundtrack",English
10925,Honky Tonkin's What I Do Best,Marty Stuart,1996,1,0,2018-01-12,"Country,Duet",English
13664,I Am What I Am,Gloria Gaynor,1983,0,0,2011-05-30,"Pop,80s",English
33497,I Am What I Am,Shirley Bassey,1984,0,0,2011-08-10,"Musical,Classical",English
31109,I Am What I Am,La Cage aux Folles,1983,0,0,2011-08-16,Musical,English
32119,I Am What I Am,John Barrowman,2008,0,0,2011-08-17,"Pop,Classical",English
54021,I Am What I Am,Hermes House Band,2004,0,0,2017-09-20,"Pop,Disco,Dance",English
13666,I Am What I Am,Christophe Willem,2006,0,0,2011-05-30,"Disco,Pop,Rock",English
27787,I Am What I Am,Jonas Brothers,2006,0,0,2012-06-04,"Teen pop,Rock",English
22418,I Am What I Am (Single version),Gloria Gaynor,1983,0,0,2015-04-10,"Pop,80s",English
33061,I Did What I Did For Maria,Tony Christie,1971,0,0,2014-10-30,Pop,English
25253,I Don't Know What She Said,Blaine Larsen,2006,0,0,2011-09-23,Country,English
28796,I Just Don't Know What To Do With Myself,The White Stripes,2004,0,0,2011-10-21,"Rock,Alternative,Punk/Grunge",English
25017,I Just Don't Know What To Do With Myself,Dionne Warwick,1966,0,0,2011-11-25,"Pop,Soul",English
13953,I Just Don\'t Know What To Do With Myself,Dusty Springfield,1964,0,0,2011-05-31,"Soft rock,Folk",English
34048,I Know What Boys Like,Waitresses,1982,0,0,2012-04-04,"Pop,80s",English
14602,I Know What Love Is,C\xc3\xa9line Dion,2000,0,0,2011-05-31,Soft rock,English
50375,I Know What You Did Last Summer,Shawn Mendes,2015,1,0,2016-03-01,"Pop,Duet",English
6355,I Want To Know What Love Is,Foreigner,1984,0,0,2007-08-27,"Love,Pop,Soft rock",English
17842,I Want To Know What Love Is,Tina Arena,1997,0,0,2014-04-22,"Pop,Love",English
25412,I Want To Know What Love Is,Mariah Carey,2009,0,0,2012-06-27,"Pop,Soul,Love",English
35008,I Want To Know What Love Is,Rappers Against Racism,1998,0,0,2013-11-12,"Love,Rap",English
36193,I Wonder What Would Happen To The World,Harry Chapin,1978,0,0,2011-06-03,"Pop,Soul",English
6906,If You Know What I Mean,Neil Diamond,1976,0,0,2015-10-14,Soft rock,English
54808,It Is No Secret (What God Can Do) (With The Royal Philharmonic Orchestra),Elvis Presley,2017,0,0,2018-01-03,"Love,Gospel",English
44178,It Is What It Is,Kacey Musgraves,2013,0,0,2013-07-11,Country,English
25689,Jesus Oh What A Wonderful Child,Mariah Carey,1994,0,0,2011-05-30,"Christmas,Gospel,Christian",English
29164,Just Dropped In (To See What My Condition Was In),Kenny Rogers And The First Edition,1968,0,0,2012-02-07,Rock,English
12398,Life\'s What You Make It,Hannah Montana,2007,0,0,2015-04-16,"Teen pop,Rock,TV & movie soundtrack",English
45112,Listen to What the Man Said,Paul McCartney,1975,0,0,2013-10-08,Soft rock,English
38255,Loca People (What the Fuck),Sak Noel,2011,0,1,2013-04-25,"Electro,Dance","English,Spanish"
54013,Look What You Made Me Do,Taylor Swift,2017,0,0,2017-09-14,"Pop,Dance,Electro",English
54150,Look What You Made Me Do,Postmodern Jukebox,2017,0,0,2017-10-23,"Jazz,Pop",English
15712,Look What You've Done,Jet,2003,0,0,2011-12-30,"Pop,Love",English
34055,Look What You've Done For Me,Al Green,1972,0,0,2012-06-28,"Soul,Pop",English
40754,Look What You've Done To Me,Boz Scaggs,1980,0,0,2012-07-12,Soul,English
30884,Money (That's What I Want),Barrett Strong,1959,0,0,2011-06-01,Rock 'n Roll,English
21466,Money (That\'s What I Want),The Beatles,1963,0,0,2011-05-30,"Rock \'n Roll,Rock",English
27625,Ms. What's Her Name,Single Tree,2009,0,0,2012-05-23,Country,English
42884,My Songs Know What You Did In The Dark,Fall Out Boy,2013,0,0,2013-02-19,"Rock,Punk/Grunge",English
55565,Nice for What,Drake,2018,0,1,2018-06-22,Rap,English
8702,No Matter What,Boyzone,1998,0,0,2011-05-30,"Teen pop,Pop,Love",English
25800,Nobody Gonna Tell Me What To Do,Van Zant,2006,0,0,2012-06-07,"Country",English
20630,Oh What A Beautiful Morning,Oklahoma!,1943,0,0,2011-06-28,Musical,English
11488,Oh What A Thrill,The Mavericks,2001,0,0,2012-01-18,Country,English
7665,"Oh, What A Night",The Dells,1956,0,0,2017-08-31,"Soul,Love",English
21663,Over The Rainbow / What A Wonderful World,Israel Kamakawiwo\'ole,1993,0,0,2011-05-30,"World/Folk,Zouk/Creole,TV & movie soundtrack",English
29651,Over The Rainbow / What A Wonderful World,Aselin Debison,2002,0,0,2011-05-31,"Soft rock,Pop",English
40664,"Please, Please, Please Let Me Get What I Want",The Smiths,1984,0,0,2014-03-27,"Alternative,Rock",English
39204,"Please, Please, Please Let Me Get What I Want",Slow Moving Millie,2011,0,0,2014-03-27,"Alternative,Pop",English
22219,Powerless (Say What You Want),Nelly Furtado,2003,0,0,2011-05-31,"Pop,Folk",English
12989,Practice What You Preach,Barry White,1994,0,0,2011-09-23,"Soul,Love",English
10100,"Que Sera, Sera (Whatever Will Be, Will Be)",Doris Day,1956,0,0,2007-05-04,"Pop,TV & movie soundtrack",English
40183,Say What I Feel,The Overtones,2011,0,0,2012-06-01,"Pop,Oldies",English
12999,Say What You Want,Texas,1997,0,0,2015-03-08,"Pop,Rock",English
35803,See What Love Can Do,Eric Clapton,1985,0,0,2012-02-07,Rock,English
36500,Shoop / Whatta Man / My Lovin' (You're Never Gonna Get It),The Dan Band,2005,0,0,2013-07-24,"Humour,Funk,Pop,R&B",English
42659,Shut Up (And Give Me Whatever You Got),Amelia Lily,2013,0,0,2013-02-08,"Dance,Pop",English
20654,So What,Pink,2008,0,0,2011-05-30,"Rock,Pop",English
5349,So What The Fuss,Stevie Wonder,2005,0,0,2016-06-30,"Funk,Soul",English
39180,So What?,Anti-Nowhere League,1981,0,1,2013-03-05,"Punk/Grunge,Humour,Rock",English
53293,Somewhere Over the Rainbow / What a Wonderful World,Cliff Richard,2001,0,0,2017-06-28,Pop,English
39638,Stronger (What Doesn't Kill You),Kelly Clarkson,2011,0,0,2012-03-23,"Pop,Rock",English
42866,Stronger (What Doesn't Kill You) (Acoustic),Kelly Clarkson,2011,0,0,2013-02-17,"Pop,Rock",English
51232,Tell Me What He Said,Helen Shapiro,1962,0,0,2016-07-22,"Rock \'n Roll,Pop,Oldies",English
21578,Tell Me What You See,The Beatles,1965,0,0,2013-12-06,Pop,English
30143,Tell Me What You Want Me to Do,Tevin Campbell,1991,0,0,2011-05-31,"Soft rock,Soul",English
14509,That's What Angels Do,Lila McCann,2008,0,0,2015-07-09,Country,English
13947,That's What Friends Are For,Dionne Warwick,1985,1,0,2011-11-28,"Pop,Soul,Love,Duet",English
36087,That's What Friends Are For,Children's Chorus,2005,0,0,2013-06-04,Kids,English
52184,That's What I Like,Bruno Mars,2016,0,0,2017-01-11,"R&B,Soul",English
28857,That's What I Like,Jive Bunny And The Mastermixers,1989,0,0,2017-05-22,Rock 'n Roll,English
18398,That's What I Like About You,Trisha Yearwood,1991,0,0,2018-02-22,Country,English
11542,That's What I Love About Sunday,Craig Morgan,2005,0,0,2011-12-26,Country,English
54492,That's What I Want for Christmas,Nancy Wilson,1963,0,0,2017-11-13,"Christmas,Jazz",English
8479,That's What It's All About,Brooks & Dunn,2004,0,0,2012-01-12,Country,English
34407,That's What Love Can Do,Boy Krazy,1994,0,0,2012-03-15,Pop,English
33804,That's What Love Will Do,Joe Brown,1963,0,0,2017-09-05,Rock 'n Roll,English
41381,That's What They Said About The Buffalo,Michael Peterson,1997,0,0,2012-09-18,Country,English
48026,The Heart Wants What It Wants,Selena Gomez,2014,0,0,2014-12-03,"Pop,Electro",English
43524,This Is What It Feels Like,Armin Van Buuren,2013,0,0,2013-05-20,Pop,Electro,English
40187,This Is What Makes Us Girls,Lana Del Rey,2012,0,0,2012-05-25,"Alternative,Pop",English
31050,This Is What You Are,Mario Biondi,2006,0,0,2011-05-31,"Soul,Jazz",English
51251,This Is What You Came For,Calvin Harris,2016,0,0,2016-06-24,"Pop,Dance,Electro",English
52276,This Is What You Came For,Boyce Avenue,2016,0,0,2017-01-20,"Pop,Folk",English
46691,Turn Down For What,DJ Snake,2013,0,0,2015-06-10,Electro,English
42278,Watch What Happens,Newsies,2012,0,0,2015-04-08,Musical,English
50570,Watch What Happens,Natalie Cole,2011,1,0,2016-03-03,"Jazz,Duet",English
7214,What A Beautiful Day,Chris Cagle,2003,0,0,2012-01-30,Country,English
13649,What a Beautiful Day,The Levellers,1997,0,0,2018-05-02,Rock,English
42379,What A Buzz,Olly Murs,2012,0,0,2013-02-18,Pop,English
6726,What a Diff'rence a Day Makes!,Dinah Washington,1959,0,0,2012-10-12,Pop,English
30225,What A Difference A Day Made,Jamie Cullum,2008,0,0,2011-08-23,"Jazz,Pop",English
20971,What A Difference A Day Makes,Esther Phillips,1975,0,0,2012-08-15,"Disco,Soul",English
54606,What A Difference A Day Makes,Dean Martin,1962,0,0,2018-01-02,"Love,Pop",English
49209,What A Difference A Day Makes,Renee Olstead,2004,0,0,2015-05-26,"Jazz,Soul",English
31005,What A Difference A Day Makes,Bobby Darin,1964,0,0,2015-09-07,"Jazz,Love",English
53958,What A Difference A Day Makes,Randy Crawford,1995,0,0,2017-09-26,"Jazz,Soul",English
33091,What A Dog / He\'s A Tramp,Lady And The Tramp,1955,0,0,2015-08-28,"TV & movie soundtrack,Jazz",English
37348,What A Feeling,Alex Gaudino,2011,0,0,2012-01-10,"Dance,Electro",English
37172,What a Fool Believes,The Doobie Brothers,1978,0,0,2012-08-23,"Funk,Soul,Pop",English
14901,What A Friend We Have In Jesus,Alan Jackson,2006,0,0,2012-01-13,"Country,Christian",English
8823,What A Girl Wants,Christina Aguilera,1999,0,0,2011-09-23,"Teen pop,Pop",English
50939,What a Man,Linda Lyndell,1968,0,0,2016-03-30,Soul,English
43676,What A Night,Loveable Rogues,2013,0,0,2016-02-25,Pop,English
22659,What A Woman Wants,Julia Burton,2008,0,0,2012-05-21,Country,English
6187,What A Wonderful World,Louis Armstrong,1968,0,0,2007-05-29,"Pop,Oldies",English
18517,What A Wonderful World,Michael Bubl\xc3\xa9,2001,0,0,2011-05-31,"Pop,Jazz",English
14202,What A Wonderful World,Katie Melua,2007,1,0,2011-11-03,"Jazz,Duet",English
30095,What A Wonderful World,Stacey Kent,2007,0,0,2011-05-31,"Jazz,Pop",English
32161,What A Wonderful World,C\xc3\xa9line Dion,2005,0,0,2011-05-31,"Pop,Soft rock",English
29740,What A Wonderful World,Rod Stewart,2004,0,0,2011-05-31,"Jazz,Pop",English
25731,What a Wonderful World,Eva Cassidy,2004,0,0,2018-06-09,"Soul,Love,Soft rock",English
27093,What A Wonderful World,Renee Olstead,2000,0,0,2011-05-30,"Jazz,Pop",English
21731,What A Wonderful World (duet),Louis Armstrong,1999,1,0,2011-05-30,"Jazz,Duet",English
26940,What A Wonderful World (Salsa Version),Michell,2008,0,0,2011-05-30,Latin,English
30224,What About Love,Heart,1985,0,0,2012-01-20,"Rock,Love",English
44755,What About Love,Austin Mahone,2013,0,0,2013-08-24,"Teen pop,Pop",English
51320,What About Me,Moving Pictures,1981,0,0,2016-07-19,"Soft rock,Pop",English
18650,What About Now,Chris Daughtry,2006,0,0,2012-10-12,"Pop,Soft rock",English
25738,What About Now,Westlife,2009,0,0,2011-05-30,"Teen pop,Pop,R&B",English
7409,What About Now,Lonestar,2000,0,0,2018-05-22,Country,English
53954,What About Us,Pink,2017,0,0,2017-09-14,Pop,English
29125,What About Us,Ministry,2001,0,1,2012-06-01,"Hard/Metal,Rock",English
42667,What About Us,The Saturdays,2012,0,0,2016-02-25,"Pop,Electro,Dance",English
34207,What About Us,Total,1997,0,0,2014-11-27,R&B,English
31187,What About Your Friends?,TLC,1992,0,0,2013-12-04,R&B,English
5273,What Am I To You,Norah Jones,2004,0,0,2013-01-30,"Soft rock,Pop",English
42732,What Am I To You (Short),Norah Jones,2002,0,0,2013-02-05,"Jazz,Pop",English
37278,What Are Words,Chris Medina,2011,0,0,2011-11-22,Pop,English
7550,What Are You Doing New Year's Eve,Nancy Wilson,1965,0,0,2014-09-22,"Soul,Jazz,Christmas",English
28649,What Are You Doing New Year's Eve,1940s Standards,1947,0,0,2011-12-09,"Love,Jazz,Christmas",English
54129,What Are You Doing New Year's Eve?,Bette Midler,2005,0,0,2017-10-18,"Christmas,Jazz",English
54234,What Are You Doing New Year's Eve?,Idina Menzel,2014,0,0,2017-11-10,"Christmas,Jazz",English
18960,What Are You Doing The Rest Of Your Life?,Michel Legrand,1969,0,0,2014-10-17,"TV & movie soundtrack,Jazz,Musical",English
50776,What Are You Listening To,Chris Stapleton,2013,0,0,2016-04-14,"Country,Rock",English
47479,What Are You Waiting For?,The Saturdays,2014,0,0,2016-02-25,"Dance,Teen pop,Pop",English
6396,What Becomes Of The Broken Hearted,Paul Young,1992,0,0,2011-09-09,Pop,English
18213,What Becomes Of The Brokenhearted,Jimmy Ruffin,1966,0,0,2012-03-11,Soul,English
21370,What Can I Do,The Corrs,1998,0,0,2014-10-29,"Pop,Love",English
51197,What Can I Do,Smokie,1976,0,0,2016-06-05,"Pop,Rock,Soft rock",English
21371,What Can I Do (Tin Tin Out Remix),The Corrs,1998,0,0,2017-11-06,"Pop,Love",English
26575,What Can I Say,Carrie Underwood,2009,1,0,2011-05-30,"Duet,Country",English
35624,What Can I Say After I Say I'm Sorry,1920s Standards,1926,0,0,2011-06-03,"Oldies,Jazz",English
39728,What Cha' Gonna Do For Me,Chaka Khan,1981,0,0,2012-07-19,"Funk,Soul",English
26915,What Child Is This,Christmas Carol,1865,0,0,2011-05-30,"Christmas,Christian,Traditional",English
39064,What Child Is This,Carrie Underwood,2007,0,0,2011-12-27,Christmas,English
54279,What Child Is This? (Greensleeves),Sarah McLachlan,2006,0,0,2017-10-30,"Christmas,Folk",English
45476,What Christmas Means to Me,Stevie Wonder,1967,0,0,2013-11-27,"Christmas,Soul,Christian",English
32157,What Colour Is The Wind,Charlie Landsborough,1994,0,0,2018-06-01,"Folk,Country",English
49211,What Colour Is The Wind,Mike Denver,2011,0,0,2015-06-18,Country,English
24026,What Comes Naturally,Sheena Easton,1991,0,0,2013-12-04,"Pop,Funk,Dance",English
53389,What Comes Next?,Hamilton,2015,0,0,2017-06-30,"Pop,Musical",English
42072,What Could Have Been Love,Aerosmith,2012,0,0,2012-11-23,Rock,English
32668,What Difference Does It Make?,The Smiths,1984,0,0,2017-01-30,"Rock,Alternative",English
21146,What Do I Have To Do?,Kylie Minogue,1991,0,0,2012-08-15,"Pop,Dance",English
52824,What Do I Know?,Ed Sheeran,2017,0,0,2017-04-04,Pop,English
25945,What Do Ya Think About That,Montgomery Gentry,2007,0,0,2012-02-22,Country,English
25819,What Do You Do,The Troys,2003,0,0,2012-06-07,"Pop,Rock",English
7711,What Do You Know About Love?,Dwight Yoakam,2000,0,0,2012-03-20,Country,English
49767,What Do You Mean?,Justin Bieber,2015,0,0,2015-10-30,"Pop,Dance,Electro",English
34831,What Do You Want From Me?,Take That,2010,0,0,2012-01-30,"Pop,Soft rock",English
18069,What Do You Want From Me?,Cascada,2008,0,0,2011-05-31,"Dance,Pop",English
32219,What Do You Want to Make Those Eyes at Me For?,Emile Ford,1959,0,0,2016-11-14,Rock 'n Roll,English
33286,What Do You Want To Make Those Eyes At Me For?,Shakin' Stevens,1987,0,0,2012-01-27,Rock 'n Roll,English
35860,What Does It Take,Honeymoon Suite,1986,0,0,2012-01-22,Rock,English
52537,What Does It Take (To Win Your Love),Junior Walker & the All Stars,1968,0,0,2017-02-16,Soul,English
25431,What Dreams Are Made Of,Hilary Duff,2003,0,0,2015-11-23,"TV & movie soundtrack,Dance,Teen pop",English
25401,What Dreams Are Made Of (Ballad Version),Hilary Duff,2003,0,0,2016-08-25,"TV & movie soundtrack,Teen pop",English
39474,What Goes On,The Velvet Underground,1968,0,0,2013-07-26,"Alternative,Rock",English
25820,What Happened,Gretchen Wilson,2005,0,0,2012-06-01,Soft rock,English
48630,What Happened To Your Band,McBusted,2014,0,0,2015-03-25,"Pop,Rock",English
40122,What Happiness Means To Me,Amy Macdonald,2010,0,0,2012-05-25,"Pop,Rock,Folk",English
30682,What Have You Done,Within Temptation,2007,0,0,2011-05-31,"Hard/Metal",English
40104,What Have You Got Planned Tonight Diana,Merle Haggard,1976,0,0,2016-08-08,Country,English
17527,What Hurts The Most,Rascal Flatts,2005,0,0,2011-05-31,"Soft rock,Country",English
14145,What Hurts The Most,Cascada,2007,0,0,2008-08-22,"Dance,Pop",English
43385,What Hurts The Most,Boyce Avenue,2008,0,0,2013-05-01,"Soft rock,Pop",English
26644,What I Am,Edie Brickell,1988,0,0,2012-01-25,"Pop,Rock",English
53065,What I Can't Put Down,Jon Pardi,2014,0,0,2017-05-23,"Country,Rock",English
24652,What I Cannot Change,LeAnn Rimes,2008,0,0,2011-11-09,"Soft rock,Country",English
30052,What I Did for Love,A Chorus Line,1985,0,0,2018-09-03,"TV & movie soundtrack,Musical",English
49093,What I Did For Love,Josh Groban,2015,0,0,2015-05-26,"Pop,Soft rock,Love,Musical",English
34427,What I Did for Love,Glee,2010,0,0,2011-05-30,"TV & movie soundtrack,Musical,Pop",English
48524,What I Did For Love,David Guetta,2014,0,0,2015-02-13,"Pop,Dance,Electro",English
24361,What I Did Last Night,Catherine Britt,2007,0,0,2012-06-01,Country,English
12583,What I Go To School For,Busted,2002,0,0,2011-05-31,"Teen pop,Rock",English
48474,What I Got,Sublime,1996,0,1,2015-02-13,"Alternative,Rock,Ska,Punk/Grunge,Rap",English
50431,What I Like About You,The Romantics,1979,0,0,2016-01-26,"Rock,Pop",English
50428,What I like About You,5 Seconds of Summer,2014,0,0,2016-02-09,"Teen pop,Pop,Rock",English
28754,What I Like About You,Lillix,2003,0,0,2011-11-28,"Rock,Teen pop",English
18016,What I Like About You (Live),The Romantics,1980,0,0,2012-09-11,Rock,English
35126,What I Meant To Say,Donny Osmond,2005,0,0,2012-01-11,"Love,Pop",English
45173,What I Might Do,Ben Pearce,2012,0,0,2016-02-25,"Alternative,Electro",English
16381,What I Miss About You,Katie Melua,2008,0,0,2012-01-22,Pop,English
33998,What I Need,Ray J,2006,0,0,2013-12-15,"Rap,R&B",English
50141,What I Never Knew I Always Wanted,Carrie Underwood,2015,0,0,2016-04-28,"Pop,Country,Folk",English
14434,What I Want,Bob Sinclar,2007,0,0,2011-05-31,"Electro,Dance",English
29214,What I'd Give,Sugarland,2008,0,0,2011-05-31,Soft rock,English
44207,What I\'d Say,Vigon Bamy Jay,2013,0,0,2013-07-25,"Soul,Rock \'n Roll",English
23710,What I'm For,Pat Green,2009,0,0,2011-05-31,Country,English
33313,What I\'ve Been Looking For,High School Musical,2006,0,0,2018-04-13,"TV & movie soundtrack,Musical",English
25352,What I've Been Waiting For,Brian McKnight,2009,0,0,2013-12-07,R&B,English
25106,What I've Got In Mind,Billie Jo Spears,1976,0,0,2017-09-20,Country,English
21937,What If,Kate Winslet,2001,0,0,2011-05-31,"Christmas,TV & movie soundtrack,Soft rock,Love",English
31891,What If,Jason Derulo,2010,0,0,2016-02-25,"Pop,Soft rock,R&B",English
27957,What If Cartoons Got Saved,Chris Rice,2003,0,0,2011-05-30,"Country,Pop,Christian",English
48810,What If I,Meghan Trainor,2015,0,0,2015-03-25,"Pop,R&B,Soul",English
24966,What If It All Goes Right,Melissa Lawson,2008,0,0,2011-05-30,"Pop,Country",English
53355,What Ifs,Kane Brown,2016,0,0,2017-07-17,"Country,Pop",English
41376,What Is Hip?,Tower Of Power,1973,0,0,2013-07-17,"Funk,Soul",English
45998,What Is Life,George Harrison,1971,0,0,2014-02-20,"Rock,Pop",English
19903,What Is Love,Haddaway,1992,0,0,2011-12-14,Dance,English
52348,What Is Love,Lost Frequencies,2016,0,0,2017-01-19,"Dance,Electro,Pop",English
55454,What is Love,Postmodern Jukebox,2017,0,0,2018-05-18,"Jazz,Soul,Love",English
47710,What Is Love,Kiesza,2014,0,0,2014-10-07,Pop,English
25274,What Is Love 2k9,Haddaway,2009,0,0,2015-07-28,"Dance,Electro",English
36717,What Is Love?,Howard Jones,1983,0,0,2015-08-25,80s,English
11968,What Is This Feeling?,Wicked,2003,1,0,2008-05-29,"Musical,Duet",English
17793,What Is This Thing Called Love?,Frank Sinatra,1953,0,0,2011-05-31,"Jazz,Traditional",English
16799,What It Takes,Aerosmith,1989,0,0,2015-05-01,"Rock,Hard/Metal",English
8514,What It's Like,Everlast,1990,0,1,2011-11-19,"Pop,Rock",English
25900,What Kind of Fool Am I,Sammy Davis Jr.,1962,0,0,2011-10-08,"Jazz,Pop,Musical",English
25743,What Kinda Gone,Chris Cagle,2007,0,0,2012-03-05,Country,English
44451,What Love is Made Of,Katy B,2013,0,0,2016-02-25,"Dance,Electro",English
54135,What Lovers Do,Maroon 5,2017,0,0,2017-10-25,Pop,"Dance,Electro",English
25821,What Made You Say That,Shania Twain,1993,0,0,2013-12-01,"Country,Soft rock",English
44118,What Makes A Man,Westlife,2000,0,0,2013-07-01,Pop,English
38104,What Makes You Beautiful,One Direction,2011,0,0,2011-09-21,"Teen pop,Pop",English
38754,What Makes You Beautiful,Boyce Avenue,2011,0,0,2011-12-10,"Pop,Soft rock,Folk",English
54839,What Makes You Country,Luke Bryan,2017,0,0,2018-01-11,Country,Rock,English
41877,What My Woman Can't Do,George Jones,1973,0,0,2012-11-19,Country,English
8303,What Now My Love,Frank Sinatra,1966,0,0,2011-05-31,Jazz,English
7059,What Now My Love,Elvis Presley,1973,0,0,2011-05-30,Rock,English
42325,What Now My Love,Shirley Bassey,1962,0,0,2016-06-07,"Pop,Jazz",English
27291,What Now My Love (With Aretha Franklin),Frank Sinatra,1966,1,0,2017-08-01,"Jazz,Duet",English
50683,"What Now, My Love? (with the Royal Philharmonic Orchestra)",Elvis Presley,2015,0,0,2016-03-21,Pop,English
6763,What Part Of No,Lorrie Morgan,1992,0,0,2012-05-03,Country,English
7002,What She\'s Doing Now,Garth Brooks,1991,0,0,2018-06-25,"Country,Soft rock",English
10247,What The Cowgirls Do,Vince Gill,1994,0,0,2016-07-22,Country,English
35829,What The Hell,Avril Lavigne,2011,0,0,2011-05-30,"Teen pop,Rock,Pop",English
38154,What The Water Gave Me,Florence + The Machine,2011,0,0,2013-04-30,"Pop,Alternative",English
6253,What The World Needs,Wynonna Judd,2003,0,0,2011-10-08,Country,English
12406,What Time Is It?,High School Musical 2,2007,0,0,2015-04-16,"TV & movie soundtrack,Pop",English
6238,What Was I Thinkin',Dierks Bentley,2003,0,0,2011-12-10,Country,English
48201,What We Ain't Got,Jake Owen,2014,0,0,2014-12-26,Country,English
53870,What Would Brian Boitano Do?,South Park,1999,0,0,2017-09-01,"TV & movie soundtrack,Humour,Musical",English
15370,What Would You Do,City High,2001,0,0,2018-07-13,"R&B,Rap",English
35414,What Would You Do For Love,Jonathan Butler,1999,0,0,2013-12-04,Pop,English
22759,What Would You Say,Trailer Choir,2009,0,0,2012-04-02,Country,English
15011,What You Are,Audioslave,2004,0,0,2013-07-01,"Rock,Alternative",English
49220,What You Get Is What You See,Lisa McHugh,2014,0,0,2015-06-22,Country,English
24626,What You Give Away,Vince Gill,2007,1,0,2013-12-03,"Country,Duet",English
18014,What You Need,INXS,1985,0,0,2014-07-15,"Pop,Rock,80s",English
19232,What You Own,Rent,1996,0,0,2013-04-09,Musical,English
