24164,"Angelina & Zooma, Zooma",Louis Prima,1957,0,0,2011-05-31,Jazz,Latin,English,,,,,
37827,Angeline,Groove Coverage,2011,0,0,2012-05-11,Pop,Electro,Dance,English,,,,
23387,Angélique,Christian Vidal,1972,0,0,2014-10-06,French pop,French,,,,,,
34699,Angelito,Aventura,2005,0,0,2016-10-02,Latin,Funk,Spanish,,,,,
8747,Angels,Robbie Williams,1997,0,0,2007-05-04,Pop,Rock,English,,,,,
27472,Angels,The Baseballs,2009,0,0,2011-05-30,Rock 'n Roll,English,,,,,,
8485,Angels,Jessica Simpson,2004,0,0,2011-05-31,"Soft rock,Pop",English,,,,,,
29661,Angels,Within Temptation,2005,0,0,2011-12-06,Hard/Metal,English,,,,,,
49594,Angels (Acoustic),Robbie Williams,1997,0,0,2015-08-18,"Pop,Soft rock",English,,,,,,
14893,Angels Among Us,Alabama,1993,0,0,2017-03-22,Love,Country,English,,,,,
49607,Angels and Alcohol,Alan Jackson,2015,0,0,2015-08-12,Country,English,,,,,,
21127,Angels Are Calling,Ari Koivunen,2007,0,0,2012-06-01,Hard/Metal,English,,,,,,
29248,Angels Brought Me Here,Carrie Underwood,2005,0,0,2011-05-31,"Soft rock,Country",English,,,,,,
27529,Angels Cry,Mariah Carey,2009,0,0,2011-05-31,"Pop,R&B,Soft rock",English,,,,,,
23736,Angels Fly Away,Eric Durrance,2008,0,0,2012-03-26,"Soft rock,Country",English,,,,,,
26554,Angels From The Realms Of Glory,Christmas Carol,1816,0,0,2011-05-31,Christmas,Traditionnal,English,,,,,
25771,Angels Like Her,Trent Tomlinson,2009,0,0,2012-05-16,Country,English,,,,,,
41064,Angels or Devils,Dishwalla,2002,0,0,2017-11-02,Rock,Pop,English,,,,,
34350,Angels We Have Heard on High,Christmas Carol,1962,0,0,2011-05-30,Christmas,Christian,Traditionnal,English,,,,
8740,Angels Would Fall,Melissa Etheridge,1999,0,0,2017-11-14,Pop,Rock,English,,,,,
37416,Anger Never Dies,Hooverphonic,2011,0,0,2011-08-20,Pop,English,,,,,,
11834,Angie,The Rolling Stones,1973,0,0,2012-02-08,Rock,English,,,,,,
29136,Angie Baby,Helen Reddy,1974,0,0,2011-07-30,"Soft rock,Pop",English,,,,,,
53387,Angry Chair,Alice in Chains,1992,0,0,2017-06-20,Hard/Metal,English,,,,,,
33820,Angry Inch,Hedwig And The Angry Inch,2001,0,1,2011-11-16,"TV & movie soundtrack,Rock,Hard/Metal",English,,,,,,
19977,Animal,Def Leppard,1987,0,0,2016-03-25,Hard/Metal,Rock,English,,,,,
32927,Animal,Neon Trees,2010,0,0,2011-05-31,Alternative,Rock,English,,,,,
18995,Animal,Pearl Jam,1994,0,0,2018-06-18,Rock,English,,,,,,
36235,Animal,Kesha,2010,0,0,2011-07-09,Pop,Dance,Electro,English,,,,
52873,Animal,Álvaro Soler,2017,0,0,2017-05-04,Latin,Pop,Dance,Spanish,,,,
41132,Animal,Kat DeLuna,2007,0,0,2013-07-01,Pop,R&B,English,,,,,
42515,Animal,Conor Maynard,2012,0,0,2016-02-25,Dance,Pop,Electro,English,,,,
47406,Animal Instinct,The Cranberries,1999,0,0,2014-08-24,Alternative,Rock,English,,,,,
23331,Animal Nitrate,Suede,1993,0,0,2013-02-03,Rock,Alternative,English,,,,,
47619,Animals,Maroon 5,2014,0,0,2014-10-04,Pop,Rock,Electro,English,,,,
19261,Anita,Costa Cordalis,1977,0,0,2012-07-16,Schlager,German,,,,,,
52189,Anita,Dieter Thomas Kuhn,1995,0,0,2017-01-12,Schlager,Rock,German,,,,,
16218,Aniversario de bodas,Luis Lucena,1963,0,0,2014-08-13,Traditionnal,Latin,Spanish,,,,,
41203,Anna,Toto,1988,0,0,2012-08-12,"Pop,Soft rock",English,,,,,,
40519,Anna (El Negro Zumbón),Pink Martini,2004,0,0,2013-07-25,Latin,Jazz,World/Folk,Spanish,,,,
21173,Anna (Go To Him),The Beatles,1963,0,0,2011-05-30,Pop,Soul,Oldies,English,,,,
21037,Anna Molly,Incubus,2006,0,0,2017-09-27,Rock,Alternative,English,,,,,
19379,"Anna, Lassmichrein Lassmichraus",Trio,1982,0,0,2016-12-08,Rock,Alternative,80s,German,,,,
54187,Annabel,Hans de Booij,1982,0,0,2017-10-30,Schlager,80s,Dutch,,,,,
5484,Annie's Song,John Denver,1974,0,0,2008-08-22,"Soft rock,Folk",English,,,,,,
33465,Anniversary,Tony! Toni! Toné!,1993,0,0,2011-05-31,Soul,English,,,,,,
53933,Anniversary Song,Tom Jones,1989,0,0,2017-10-17,Pop,Love,English,,,,,
43198,Anniversary Song,Eva Cassidy,2000,0,0,2013-04-20,Soul,Pop,Folk,English,,,,
26143,Anniversary Waltz (Part 1),Status Quo,1990,0,0,2011-05-30,"Rock 'n Roll,Rock",English,,,,,,
50026,Anorak,Sarah Connor,2015,0,0,2016-11-03,"Pop,Soft rock",German,,,,,,
49652,Another 45 Miles,Golden Earring,1969,0,0,2015-09-03,Rock,English,,,,,,
36118,Another Day,Buckshot LeFonque,1997,0,0,2011-07-16,Soul,Jazz,Rap,English,,,,
33298,Another Day,Paul McCartney,1971,0,0,2012-04-20,Rock,Pop,English,,,,,
19228,Another Day,Rent,1996,1,0,2014-11-04,"Musical,TV & movie soundtrack,Duet",English,,,,,,
20793,Another Day,Jamie Lidell,2008,0,0,2011-05-31,Soul,Pop,English,,,,,
44792,Another Day,Lemar,2004,0,0,2013-08-26,R&B,Soul,English,,,,,
46612,Another Day (That Time Forgot),Neil Diamond,2008,1,0,2014-04-14,"Soft rock,Country,Pop,Duet",English,,,,,,
13668,Another Day In Paradise,Phil Collins,1989,0,0,2011-05-31,Pop,English,,,,,,
15211,Another Day In Paradise,Brandy,2001,0,0,2013-11-01,R&B,English,,,,,,
52464,Another Day of Sun,La La Land,2016,0,0,2017-03-02,"TV & movie soundtrack,Musical",English,,,,,,
31811,Another Girl,The Beatles,1965,0,0,2014-06-18,Rock,English,,,,,,
39914,Another Good Reason,Alan Jackson,1998,0,0,2012-04-20,Country,English,,,,,,
50655,Another Lonely Night,Adam Lambert,2015,0,0,2016-03-02,Pop,Electro,English,,,,,
24391,Another Lonely Song,Tammy Wynette,1973,0,0,2011-05-31,Soft rock,English,,,,,,
42784,Another Love,Tom Odell,2013,0,0,2013-03-08,Folk,Pop,English,,,,,
47640,Another Man,Itch,2014,1,0,2014-11-06,Pop,Duet,English,,,,,
40783,Another Me,Sister Hazel,2004,0,0,2016-02-25,Rock,Country,English,,,,,
18872,Another Night,The Real McCoy,1994,0,0,2013-12-03,Dance,Electro,English,,,,,
24845,Another Night,Jason Donovan,1986,0,0,2012-06-01,Pop,80s,English,,,,,
10008,Another One Bites The Dust,Queen,1980,0,0,2011-11-14,Rock,English,,,,,,
34610,Another One Bites The Dust,Wyclef Jean,1998,0,0,2013-12-04,Rap,Pop,English,,,,,
40570,"Another Op'nin', Another Show",Smash,2012,0,0,2012-08-11,"TV & movie soundtrack,Musical,Pop",English,,,,,,
29478,"Another Opening, Another Show",Children's Chorus,2002,0,0,2011-12-10,Kids,English,,,,,,
20893,Another Part of Me,Michael Jackson,1988,0,0,2011-05-31,Pop,Funk,80s,English,,,,
7931,Another Perfect Day,American Hi-Fi,2001,0,0,2013-04-16,Pop,Rock,English,,,,,
13320,Another Rock N' Roll Christmas,Gary Glitter,1984,0,0,2011-05-31,"Christmas,Rock 'n Roll",English,,,,,,
11264,Another Sad Love Song,Toni Braxton,1993,0,0,2011-07-09,"R&B,Soft rock",English,,,,,,
33373,Another Saturday Night,Sam Cooke,1963,0,0,2014-03-17,Soul,Oldies,English,,,,,
6441,Another Saturday Night,Jimmy Buffett,1983,0,0,2014-02-13,"Pop,Rock 'n Roll",English,,,,,,
17284,Another Saturday Night,Cat Stevens,1974,0,0,2016-07-12,"Soft rock,Pop",English,,,,,,
24687,Another Side Of You,Joe Nichols,2007,0,0,2012-03-07,Country,English,,,,,,
6176,Another Somebody Done Somebody Wrong Song,B. J. Thomas,1975,0,0,2011-09-23,Country,Pop,English,,,,,
40666,Another Song I Had To Write,Jacob Lyda,2011,0,0,2012-07-31,Country,English,,,,,,
21302,Another Star,Stevie Wonder,1977,0,0,2014-03-26,Soul,Disco,English,,,,,
9595,"Another Time, Another Place",Engelbert Humperdinck,1971,0,0,2018-04-30,Pop,English,,,,,,
24392,"Another Time, Another Place",Sandi Patty,1999,1,0,2013-11-09,"Soft rock,Christian,Duet",English,,,,,,
40992,Another Try,Josh Turner,2008,0,0,2013-04-24,Country,English,,,,,,
49240,Another You,Armin Van Buuren,2015,0,0,2015-08-24,Dance,Pop,Electro,English,,,,
19096,"Answer Me, My Love",Nat King Cole,1954,0,0,2016-10-20,Jazz,Oldies,English,,,,,
24394,Answer The Phone,Sugar Ray,2001,0,0,2012-05-11,Rock,Pop,English,,,,,
44239,Antenna,Fuse ODG,2013,0,0,2016-02-25,Dance,Zouk/Creole,English,,,,,
31343,Anthem,Chess,1984,0,0,2016-06-05,Musical,Classical,English,,,,,
49254,Anthem,Josh Groban,2015,0,0,2016-10-10,Musical,Classical,English,,,,,
36061,Anthem,Kerry Ellis,2010,0,0,2017-11-09,Musical,Rock,English,,,,,
43076,Anti Hero (Le saut de l'ange),Marlon Roudette,2012,1,0,2013-12-03,"Pop,Duet,French pop",French,English,,,,,
48310,Anticipating,Britney Spears,2002,0,0,2015-01-12,"Pop,Teen pop",English,,,,,,
15289,Anticipation,Carly Simon,1971,0,0,2017-01-24,"Folk,Pop,Soft rock",English,,,,,,
39565,Antidote,Swedish House Mafia,2011,0,0,2016-02-25,Electro,Dance,English,,,,,
12401,Antisocial,Trust,1980,0,0,2011-12-21,Hard/Metal,Alternative,Rock,French,,,,
33646,Antmusic,Adam & The Ants,1980,0,0,2017-10-10,Rock,Alternative,80s,English,,,,
16718,Anton Aus Tirol,DJ Ötzi,2001,0,0,2012-08-08,Schlager,Dance,German,,,,,
34564,Any Kind Of Guy,Big Time Rush,2010,0,0,2011-05-31,"Teen pop,Pop,Rock",English,,,,,,
28503,Any Love,Luther Vandross,1989,0,0,2011-05-31,Soul,Pop,Love,English,,,,
11087,Any Man Of Mine,Shania Twain,1995,0,0,2016-09-24,Country,English,,,,,,
52397,Any Ol' Barstool,Jason Aldean,2016,0,0,2017-01-24,Country,English,,,,,,
14138,Any Other World,Mika,2007,0,0,2011-05-31,Pop,English,,,,,,
21440,Any Time At All,The Beatles,1964,0,0,2011-05-31,Rock 'n Roll,English,,,,,,
35937,"Any Time, Any Place",Janet Jackson,1994,0,0,2012-06-01,Pop,R&B,English,,,,,
30235,Any Way That You Want Me,The Troggs,1967,0,0,2012-04-11,Rock,English,,,,,,
19316,Any Way You Want It,Journey,1980,0,0,2011-10-26,Hard/Metal,Rock,English,,,,,
41826,Any Way You Want It,Rock Of Ages,2012,0,0,2012-11-10,"TV & movie soundtrack,Hard/Metal,Musical,Rock",English,,,,,,
31117,Any Way You Want It / Lovin' Touchin' Squeezin',Glee,2010,0,0,2013-07-24,"TV & movie soundtrack,Pop",English,,,,,,
33709,Any Which Way,Scissor Sisters,2010,0,0,2011-05-31,Pop,Disco,English,,,,,
21374,Anybody Seen My Baby?,The Rolling Stones,1997,0,0,2014-08-19,Rock,English,,,,,,
6628,Anymore,Travis Tritt,1991,0,0,2014-05-14,Country,English,,,,,,
31379,Anymore,Whitney Houston,1991,0,0,2013-11-20,Pop,English,,,,,,
44105,Anyone,Roxette,1999,0,0,2013-07-01,Pop,English,,,,,,
24395,Anyone Who Isn't Me Tonight,Kenny Rogers,1978,0,0,2013-12-07,Country,English,,,,,,
19324,"Anyplace, Anywhere, Anytime",Nena,2002,1,0,2014-04-30,Rock,Pop,Duet,English,German,,,
30721,Anything,3T,1995,0,0,2011-05-31,"Teen pop,Love",English,,,,,,
45416,Anything,Hedley,2013,0,1,2013-11-22,Alternative,Rock,English,,,,,
11532,Anything But Mine,Kenny Chesney,2004,0,0,2011-10-03,Country,English,,,,,,
6233,Anything But Ordinary,Avril Lavigne,2002,0,0,2007-07-31,Pop,Rock,English,,,,,
41663,Anything Could Happen,Ellie Goulding,2012,0,0,2012-10-16,Pop,Electro,Alternative,English,,,,
20811,Anything For You,Gloria Estefan,1987,0,0,2011-05-31,"Pop,Soft rock",English,,,,,,
47823,Anything Goes,Tony Bennett,2014,1,0,2015-01-30,Jazz,Duet,English,,,,,
10016,Anything Goes,Frank Sinatra,1956,0,0,2015-02-20,Jazz,Oldies,English,,,,,
22751,Anything Goes,Randy Houser,2008,0,0,2011-05-31,Country,English,,,,,,
43273,Anything Goes,Florida Georgia Line,2014,0,0,2016-08-31,Country,English,,,,,,
39070,Anything Goes / Anything You Can Do,Glee,2011,0,0,2012-01-18,"Musical,TV & movie soundtrack",English,,,,,,
21600,Anything Is Possible,Deborah Gibson,1990,0,0,2013-11-08,Pop,Disco,English,,,,,
50659,Anything That's Part Of You (with the Royal Philharmonic Orchestra),Elvis Presley,2015,0,0,2016-03-01,Love,English,,,,,,
27346,Anything You Can Do (I Can Do Better),Annie Get Your Gun,1950,1,0,2011-05-30,Musical,Oldies,Duet,English,,,,
28762,Anything's Possible,Jonny Lang,2006,0,0,2012-01-16,Rock,Pop,English,,,,,
9067,Anytime,Brian McKnight,1997,0,0,2011-05-31,Teen pop,English,,,,,,
31946,Anytime,Eddie Fisher,1951,0,0,2012-01-30,Traditionnal,Jazz,Oldies,English,,,,
26570,Anytime,Kelly Clarkson,2003,0,0,2012-02-22,Pop,Love,English,,,,,
11422,Anytime You Need A Friend,Mariah Carey,1993,0,0,2011-05-30,Soft rock,English,,,,,,
19919,Anyway,Martina McBride,2006,0,0,2008-07-18,Pop,Country,English,,,,,
51125,Anyway,Tori Kelly,2015,0,0,2016-06-07,Pop,R&B,English,,,,,
54656,Anywhere,Rita Ora,2017,0,0,2017-12-19,Electro,Dance,English,,,,,
32131,Anywhere,Evanescence,2000,0,0,2011-05-31,Soft rock,English,,,,,,
46743,Anywhere For You,John Martin,2014,0,0,2014-07-29,Dance,Pop,English,,,,,
40096,Anywhere In The World,Mark Ronson,2012,0,0,2016-02-25,Pop,English,,,,,,
43380,Apeman,The Kinks,1970,0,0,2018-07-13,Rock,English,,,,,,
55671,Apex Predator,Mean Girls,2018,0,0,2018-06-28,Musical,Rock,Pop,English,,,,
32627,Aphrodite,Kylie Minogue,2010,0,0,2011-05-31,Pop,Dance,English,,,,,
48802,Apocalyptic,Halestorm,2015,0,0,2015-03-25,Hard/Metal,Rock,English,,,,,
43650,Apologies,Grace Potter,2007,0,0,2013-06-05,Country,Rock,Pop,English,,,,
13471,Apologize,Timbaland,2007,0,0,2008-03-21,R&B,Pop,English,,,,,
53334,Apologize,Boyce Avenue,2008,0,0,2017-06-26,Pop,English,,,,,,
25520,Apologize,Pixie Lott,2009,0,0,2011-05-30,Soft rock,English,,,,,,
46787,Appelle quand tu te réveilles,Renan Luce,2014,0,0,2014-09-30,French pop,French,,,,,,
44137,"Applaus, Applaus",Sportfreunde Stiller,2013,0,0,2013-08-21,Rock,Alternative,German,,,,,
44757,Applause,Lady Gaga,2013,0,0,2013-09-05,Pop,Electro,English,,,,,
41833,Apple Blossom,The White Stripes,2000,0,0,2012-11-12,Alternative,Blues,Rock,English,,,,
48861,Applejack,Lisa McHugh,2014,0,0,2015-04-16,Country,Folk,English,,,,,
28763,Apples And Bananas,Children's Chorus,2005,0,0,2012-03-21,Kids,English,,,,,,
37708,Apprendre,Yves Duteil,2001,0,0,2012-03-05,French pop,French,,,,,,
46941,Apprends-moi (Tornero),Mireille Mathieu,1975,0,0,2014-11-20,French pop,French,,,,,,
6786,Aprendiz,Alejandro Sanz,1998,0,0,2018-07-30,Folk,Latin,Spanish,,,,,
45937,Après moi le déluge,Alex Beaupain,2013,0,0,2017-11-09,French pop,French,,,,,,
32679,Après tant d'années d'amour,Frank Michael,2003,0,0,2016-06-05,French pop,French,,,,,,
21327,Après toi,Vicky Léandros,1972,0,0,2013-07-01,French pop,French,,,,,,
48438,Après toi,Christophe Willem,2014,0,0,2016-02-25,"French pop,Electro",French,,,,,,
51407,"April 29, 1992",Sublime,1996,0,0,2016-07-08,Punk/Grunge,Rock,Ska,Rap,English,,,
29603,April Love,Pat Boone,1957,0,0,2011-05-31,Oldies,Pop,English,,,,,
52479,April Showers,Al Jolson,1947,0,0,2017-02-20,Jazz,Love,English,,,,,
38138,April Showers,Sugarland,2006,0,0,2011-10-20,Country,English,,,,,,
28899,April Sun In Cuba,Dragon,1977,0,0,2011-05-31,Pop,Rock,English,,,,,
24397,Aqualung,Jethro Tull,1971,0,0,2011-05-31,Rock,English,,,,,,
36307,Aquarius,Hair,1979,0,0,2011-09-12,"Musical,TV & movie soundtrack,Soul,Funk",English,,,,,,
15753,Aquarius / Let The Sun Shine In,The 5th Dimension,1969,0,0,2011-07-16,Oldies,English,,,,,,
14429,Aquellos ojos verdes,Placido Domingo,1994,0,0,2014-08-14,Pop,Spanish,,,,,,
22617,Aqui estoy yo,Luis Fonsi,2002,0,0,2011-05-30,"Soft rock,Love",Spanish,,,,,,
31160,Arabian Nights,Aladdin,1992,0,0,2015-03-27,"TV & movie soundtrack,Kids",English,,,,,,
51809,Arabian Nights,Aladdin (Musical),2011,0,0,2016-10-01,Kids,Musical,English,,,,,
20353,Aragon et Castille,Boby Lapointe,1960,0,0,2016-10-01,"Humour,French pop",French,,,,,,
40082,"Aranjuez, mon amour",Richard Anthony,1967,0,0,2016-06-05,French pop,French,,,,,,
44581,Are 'Friends' Electric?,Gary Numan,1979,0,0,2013-07-22,80s,Alternative,English,,,,,
53707,Are the Good Times Really Over,Merle Haggard,1982,0,0,2017-08-17,Country,Love,English,,,,,
42370,Are We All We Are,Pink,2012,0,1,2013-01-09,Rock,Pop,English,,,,,
51490,Are We Awake,Tal,2016,0,0,2016-10-06,"French pop,Dance,Electro",English,French,,,,,
15711,Are You Gonna Be My Girl,Jet,2003,0,0,2011-05-31,Alternative,Pop,Rock,English,,,,
51573,Are You Gonna Be My Girl,Postmodern Jukebox,2016,0,0,2016-09-20,"Jazz,Rock 'n Roll,Oldies,Pop",English,,,,,,
13043,Are You Gonna Go My Way,Lenny Kravitz,1993,0,0,2011-05-31,Rock,English,,,,,,
36551,Are You Gonna Kiss Me Or Not,Thompson Square,2010,0,0,2011-06-28,Country,English,,,,,,
6267,Are You Happy Now?,Michelle Branch,2003,0,0,2011-05-31,Pop,Rock,English,,,,,
7644,Are You Jimmy Ray?,Jimmy Ray,1998,0,0,2012-08-22,Pop,English,,,,,,
49027,Are You Old Enough,Dragon,1978,0,0,2015-05-27,Pop,Rock,English,,,,,
30732,Are You Ready,Hannah Montana,2008,0,0,2016-08-21,"Teen pop,TV & movie soundtrack,Rock",English,,,,,,
5196,Are You Ready for Love,Elton John,1979,0,0,2016-11-02,Pop,Disco,Funk,Love,English,,,
52078,Are you Ready for Love (Single version),Elton John,1979,0,0,2016-11-11,Pop,Disco,Funk,Love,English,,,
32734,Are You Ready For Loving Me,René Froger,1990,0,0,2011-05-31,Pop,Dance,English,,,,,
29875,Are You Ready For Me,The Five Heartbeats,1991,0,0,2012-09-17,Pop,Rock,English,,,,,
5053,Are You Sleeping?,Nursery Rhyme,1700,1,0,2008-06-26,Kids,Traditionnal,Duet,English,,,,
50232,Are You Sure,Kacey Musgraves,2015,1,0,2016-10-02,Country,Love,Duet,English,,,,
30633,Are You Sure Hank Done it This Way,Waylon Jennings,1975,0,0,2011-10-31,Country,English,,,,,,
48949,Are You With Me,Lost Frequencies,2014,0,0,2015-05-06,Pop,Dance,Electro,English,,,,
34314,Aren't You Glad You're You,1940s Standards,1945,0,0,2012-05-10,Oldies,Jazz,English,,,,,
26805,Arere (live),Ivete Sangalo,1995,0,0,2012-02-22,Latin,Pop,Portuguese,,,,,
34962,Aretha,Rumer,2010,0,0,2012-05-25,Soul,Jazz,English,,,,,
18427,Argent trop cher,Téléphone,1980,0,0,2012-05-04,"Rock,French pop",French,,,,,,
26482,Arizona Arizona,Truck Stop,2009,0,0,2012-02-13,Country,Schlager,German,,,,,
11570,Arlington,Trace Adkins,2005,0,0,2011-11-20,Country,English,,,,,,
53385,Armageddon It,Def Leppard,1988,0,0,2017-06-28,Hard/Metal,Rock,English,,,,,
21125,Armo,Apulanta,2005,0,0,2012-04-02,Rock,Hard/Metal,Finnish,,,,,
37199,Arms,Christina Perri,2011,0,0,2012-01-11,Pop,Folk,English,,,,,
37729,Arms Of A Woman,Amos Lee,2004,0,0,2013-01-28,Folk,Soul,English,,,,,
40883,Arms Of Mary,Smokie,2000,0,0,2012-07-16,"Pop,Soft rock",English,,,,,,
30406,Arms Of Mary,The Sutherland Brothers And Quiver,1975,0,0,2014-08-11,Folk,Rock,English,,,,,
52657,Arms of Mary,The Everly Brothers,1985,0,0,2017-03-07,Pop,English,,,,,,
54994,Arms Open,The Script,2017,0,0,2018-02-14,Pop,English,,,,,,
17522,Armstrong,Claude Nougaro,1965,0,0,2013-07-10,"Jazz,French pop",French,,,,,,
24787,Armstrong,Maurane,2009,0,0,2013-07-09,French pop,French,,,,,,
36108,Armstrong (Live),Claude Nougaro,1989,0,0,2013-07-10,"French pop,Jazz",French,,,,,,
50503,Army,Ellie Goulding,2016,0,0,2016-03-10,Pop,English,,,,,,
46565,Army Of Lovers,Lee Ryan,2005,0,0,2014-04-03,Pop,English,,,,,,
20550,Army Of Me,Björk,1995,0,0,2015-11-24,Electro,80s,English,,,,,
42702,Army Of Two,Olly Murs,2012,0,0,2013-02-21,Pop,English,,,,,,
52253,Arnold et Willy,TV Theme,1982,0,0,2017-05-02,"TV & movie soundtrack,French pop",French,,,,,,
11723,Arnold Layne,Pink Floyd,1967,0,0,2014-06-30,Rock,English,,,,,,
52912,Around and Around,Chuck Berry,1957,0,0,2017-04-19,Rock 'n Roll,English,,,,,,
30116,Around The Way Girl,LL Cool J,1991,0,0,2013-12-06,Rap,English,,,,,,
8855,Around The World,Red Hot Chili Peppers,1999,0,0,2015-05-27,Rock,Alternative,Funk,Rap,English,,,
43219,Around The World,Daft Punk,1997,0,0,2013-03-26,Electro,Instrumental,,,,,,
33065,Around the World,Nat King Cole,1957,0,0,2018-06-26,Jazz,English,,,,,,
53658,Around the World,Frank Sinatra,1958,0,0,2017-08-24,Pop,English,,,,,,
7783,Around The World (La La La La La),ATC,2000,0,0,2011-12-04,Dance,English,,,,,,
32633,Around The World In Eighty Days,1950s Standards,1958,0,0,2011-06-01,Oldies,English,,,,,,
46200,Arrête,Florent Mothe,2013,0,0,2016-06-07,French pop,French,,,,,,
30857,"Arrête, arrête... (Demain tu te maries)",Patricia Carli,1963,0,0,2011-05-31,French pop,French,,,,,,
30495,Arrêter la clope !,Renaud,2007,0,0,2013-06-04,"French pop,Rock",French,,,,,,
27522,Arrivederci Roma,Dean Martin,1976,0,0,2011-05-30,Oldies,Jazz,English,,,,,
43022,Arrivederci Roma,Connie Francis,1959,0,0,2013-03-26,Oldies,Pop,English,Italian,,,,
36644,Arriverà,Modà,2011,1,0,2016-03-31,Pop,Rock,Duet,Italian,,,,
48717,Arsonist's Lullabye,Hozier,2014,0,0,2015-04-22,Rock,Alternative,Soul,English,,,,
26555,Art Of Love,Guy Sebastian,2009,1,0,2011-05-30,Pop,Soul,Duet,Love,English,,,
10095,Arthur's Theme (The Best That You Can Do),Christopher Cross,1981,0,0,2011-12-21,Soft rock,English,,,,,,
29021,Artificial Flowers,Bobby Darin,1960,0,0,2011-05-31,Oldies,Pop,Jazz,English,,,,
46199,Artpop,Lady Gaga,2013,0,0,2014-03-16,Pop,Electro,Dance,80s,English,,,
25030,As,Stevie Wonder,1976,0,0,2011-05-30,Soul,Funk,Pop,English,,,,
13044,As,George Michael,1998,1,0,2011-10-18,Pop,R&B,Soul,Love,Duet,English,,
37683,As Far As I Can Tell,Restless Heart,1992,0,0,2013-07-25,"Pop,Soft rock",English,,,,,,
28867,As Far As It Goes,George Strait,2003,0,0,2012-09-12,Country,English,,,,,,
39191,As Far As You Know,Gretchen Wilson,2010,0,0,2013-07-01,Country,English,,,,,,
19475,As Good As I Once Was,Toby Keith,2005,0,0,2011-05-31,Country,English,,,,,,
13057,As Good As New,ABBA,1979,0,0,2016-10-07,Disco,Funk,English,,,,,
24689,As If,Sara Evans,2007,0,0,2011-05-30,Country,English,,,,,,
7440,As If We Never Said Goodbye,Barbra Streisand,1993,0,0,2011-05-31,Pop,English,,,,,,
6482,As Long As He Needs Me,Oliver!,1961,0,0,2007-05-18,Musical,Love,English,,,,,
47720,As Long As I Got You,Lily Allen,2014,0,0,2016-02-24,Pop,English,,,,,,
10840,As Long as I Have You,Elvis Presley,1958,0,0,2018-04-05,Pop,Gospel,English,,,,,
28764,As Long As I Live,Diana Krall,1993,0,0,2011-09-03,Love,Jazz,English,,,,,
28868,As Long As I'm Singing,Bobby Darin,1964,0,0,2011-05-30,Jazz,Oldies,English,,,,,
47767,As Long As There's Christmas,Beauty and the Beast: The Enchanted Christmas,1997,1,0,2015-04-10,"Christmas,TV & movie soundtrack,Duet",English,,,,,,
43042,As Long As There's Loving Tonight,The Mavericks,2013,0,0,2013-04-02,"Country,Rock 'n Roll",English,,,,,,
9704,As Long as You Love Me,Backstreet Boys,1997,0,0,2007-07-05,"Teen pop,Pop",English,,,,,,
41385,As Long As You Love Me,Justin Bieber,2012,0,0,2012-09-07,"R&B,Teen pop",English,,,,,,
42827,As Long As You Love Me (Acoustic Version),Justin Bieber,2013,0,0,2013-03-13,Pop,English,,,,,,
12170,As Long As You're Mine,Wicked,2003,1,0,2013-07-25,Musical,Duet,English,,,,,
37629,As Long As You're There,Charice,2011,0,0,2012-01-27,"Pop,TV & movie soundtrack",English,,,,,,
34931,As She's Walking Away,Zac Brown Band,2010,0,0,2011-05-30,Country,English,,,,,,
21375,As Tears Go By,The Rolling Stones,1964,0,0,2011-11-25,Rock,English,,,,,,
41266,As The World Falls Down,Labyrinth,1986,0,0,2012-10-04,"TV & movie soundtrack,Pop,Rock",English,,,,,,
36228,As Time Goes By,Tony Bennett,1963,0,0,2011-12-15,Jazz,English,,,,,,
34984,As Time Goes By,Natalie Cole,1993,0,0,2013-04-03,"Jazz,TV & movie soundtrack",English,,,,,,
34495,As Time Goes By,Frank Sinatra,1962,0,0,2015-04-02,Jazz,Oldies,English,,,,,
51097,As Time Goes By,Anne Murray,2004,0,0,2016-04-28,Jazz,English,,,,,,
7405,As Time Goes By,Engelbert Humperdinck,1985,0,0,2011-05-31,Oldies,Jazz,English,,,,,
50639,As Time Goes By,Julie London,1965,0,0,2016-03-15,Jazz,Love,English,,,,,
19226,As Time Goes By,Rod Stewart,2003,0,0,2012-04-20,Jazz,English,,,,,,
36229,As Time Goes By (trio version),Tony Bennett,1963,0,0,2011-12-09,Jazz,English,,,,,,
35465,As We Lay,Kelly Price,2000,0,0,2011-11-25,Soul,English,,,,,,
53977,As You Are,Rag'n'Bone Man,2017,0,0,2017-09-20,Pop,Soul,English,,,,,
38719,As You Turn Away,Lady Antebellum,2011,0,0,2011-12-18,Pop,English,,,,,,
43709,As Your Friend,Afrojack,2013,0,0,2013-05-22,Dance,Pop,English,,,,,
32854,Ascension (Don't Ever Wonder),Maxwell,1996,0,0,2012-08-07,Soul,R&B,English,,,,,
7062,Asereje (The Ketchup Song),Las Ketchup,2003,0,0,2011-05-31,Pop,Latin,English,Spanish,,,,
7078,Asereje (The Ketchup Song) (Spanish),Las Ketchup,2002,0,0,2018-06-14,Pop,Latin,Spanish,,,,,
55512,Ashes,Céline Dion,2018,0,0,2018-06-08,"Pop,TV & movie soundtrack",English,,,,,,
44399,Ashes And Wine,A Fine Frenzy,2007,0,0,2013-08-25,"Pop,Soft rock,Alternative",English,,,,,,
