,title,artist,,,,,,,,,,,,
41518,"Heute hier, morgen dort",Hannes Wader,1972,0,0,2012-10-02,Folk,German,,,,,,
49288,Hey,Andreas Bourani,2014,0,0,2015-12-09,"Schlager,Soft rock,Rock",German,,,,,,
49482,Hey,Yvonne Catterfeld,2015,0,0,2016-08-23,Schlager,Rock,German,,,,,
51302,Hey,Afrojack,2016,0,0,2016-08-26,Pop,Dance,Electro,English,,,,
36314,Hey (Nah Neh Nah),Milk & Sugar,2010,0,0,2011-06-28,Electro,Dance,English,,,,,
16724,Hey Baby,DJ Ötzi,2000,0,0,2011-05-31,Schlager,Dance,English,,,,,
47211,Hey Baby,Collectif Métissé,2014,0,0,2014-09-03,Dance,English,,,,,,
36030,Hey Baby (Drop It To The Floor),Pitbull,2010,0,0,2016-02-24,Rap,Dance,English,,,,,
31750,Hey Bartender,The Blues Brothers,1978,0,0,2011-05-30,"Blues,Rock 'n Roll,TV & movie soundtrack,Rock",English,,,,,,
50312,Hey Boy,Take That,2015,0,0,2016-01-28,Pop,English,,,,,,
45273,Hey Brother,Avicii,2013,0,0,2013-11-01,Dance,Electro,Pop,English,,,,
53677,Hey DJ,CNCO,2017,0,0,2017-08-20,Latin,Pop,Spanish,,,,,
33473,Hey Eugene!,Pink Martini,2007,0,0,2011-05-31,Soul,English,,,,,,
50556,Hey Everybody!,5 Seconds of Summer,2015,0,0,2016-03-03,"Teen pop,Pop",English,,,,,,
9693,Hey Girl,Billy Joel,1997,0,0,2014-09-08,Soft rock,English,,,,,,
44298,Hey Girl,Billy Currington,2013,0,0,2013-08-14,Country,English,,,,,,
32652,Hey Good Lookin',The Mavericks,1992,0,0,2011-12-30,Country,English,,,,,,
40632,Hey Ha,"1789, Les Amants de la Bastille",2012,0,0,2016-06-05,"Musical,French pop",French,,,,,,
43901,Hey Ho,Tragédie,2003,0,0,2017-10-29,"R&B,Rap,French pop",French,,,,,,
54392,Hey Ho (Away We Go),Robert Mizzell,2017,0,0,2017-11-23,Country,English,,,,,,
15886,Hey Jealousy,Gin Blossoms,1992,0,0,2015-03-25,Pop,Rock,English,,,,,
25332,Hey Joe,Jimi Hendrix,1966,0,0,2011-10-26,Rock,English,,,,,,
22006,Hey Joe,Johnny Hallyday,1967,0,0,2016-05-02,French pop,French,,,,,,
11229,Hey Jude,The Beatles,1968,0,0,2007-06-05,Rock,Pop,English,,,,,
5709,Hey Jude,Elvis Presley,1972,0,0,2007-06-26,Oldies,Love,English,,,,,
46192,Hey Jude,Wilson Pickett,1969,0,0,2014-02-07,Soul,Rock,English,,,,,
40306,Hey Jude,Across The Universe,2007,0,0,2012-08-06,"TV & movie soundtrack,Pop,Musical",English,,,,,,
25008,Hey Juliet,LMNT,2002,0,0,2011-12-10,"Pop,Teen pop,Rock",English,,,,,,
28123,Hey Kölle,Höhner,1978,0,0,2016-06-05,Schlager,Pop,German,,,,,
46240,Hey Laura,Gregory Porter,2013,0,0,2014-03-05,Soul,Jazz,English,,,,,
21108,Hey Little Girl,Icehouse,1982,0,0,2017-05-30,80s,English,,,,,,
24259,Hey Little Girl,Dee Clark,1959,0,0,2012-12-07,Rock,Oldies,English,,,,,
37801,Hey Little Rich Girl,Amy Winehouse,2006,0,0,2011-10-13,Soul,Ska,English,,,,,
37180,Hey Louise,Neil Diamond,1980,0,0,2018-03-26,"Rock,Soft rock,TV & movie soundtrack",English,,,,,,
53148,Hey Ma,Pitbull,2017,1,0,2017-06-23,"TV & movie soundtrack,Latin,Pop,Duet",English,,,,,,
53147,Hey Ma (Spanish Version),Pitbull,2017,1,0,2017-06-23,"TV & movie soundtrack,Latin,Pop,Duet",English,Spanish,,,,,
49224,Hey Mama,David Guetta,2014,0,1,2015-07-04,Electro,Pop,English,,,,,
26780,Hey Mami,Wisin & Yandel,2007,0,0,2013-07-25,Rap,R&B,Reggae,Spanish,,,,
40410,Hey Mr. D.J.,Zhané,1993,0,0,2017-09-05,R&B,Soul,English,,,,,
18464,Hey Nineteen,Steely Dan,1980,0,0,2012-01-13,Rock,Jazz,English,,,,,
25381,Hey Now,Tantric,2004,0,0,2012-05-21,Hard/Metal,Rock,English,,,,,
5817,Hey Now (Girls Just Wanna Have Fun),Triple Image,2002,0,0,2013-11-25,"Teen pop,80s",English,,,,,,
35077,Hey Pachuco,Royal Crown Revue,1996,0,0,2011-11-25,TV & movie soundtrack,English,,,,,,
5895,Hey Paula,Paul & Paula,1962,0,0,2013-10-24,Love,English,,,,,,
43251,Hey Porsche,Nelly,2013,0,0,2016-02-25,R&B,Pop,Rap,English,,,,
44593,Hey Pretty Girl,Kip Moore,2013,0,0,2013-08-18,Country,English,,,,,,
30965,Hey Rock And Roll,Showaddywaddy,1974,0,0,2016-03-22,Rock 'n Roll,English,,,,,,
13303,Hey Sexy Lady,Shaggy,2002,0,0,2013-12-07,Pop,R&B,Reggae,English,,,,
49615,Hey Soul Sister (Country Mix),Train,2010,0,0,2015-10-14,Pop,Country,Rock,Folk,English,,,
23960,Hey Stephen,Taylor Swift,2008,0,0,2011-05-30,Pop,Country,English,,,,,
18743,Hey There,Sammy Davis Jr.,1955,0,0,2017-09-14,Jazz,English,,,,,,
12199,Hey There Delilah,Plain White T's,2005,0,0,2008-07-29,Folk,Pop,English,,,,,
30228,Hey There Delilah,The Baseballs,2009,0,0,2011-05-31,"Rock 'n Roll,Pop",English,,,,,,
15631,Hey There Lonely Girl,Eddie Holman,1969,0,0,2017-11-23,Soul,Pop,Love,English,,,,
22815,Hey Tonight,Creedence Clearwater Revival,1970,0,0,2011-05-31,Rock,English,,,,,,
41693,Hey Wow Yeah Yeah,Robbie Williams,2012,0,0,2016-02-25,Rock,Pop,English,,,,,
35505,Hey Ya,Richard Cheese,2006,0,0,2012-02-09,Humour,Jazz,English,,,,,
5743,Hey Ya!,OutKast,2003,0,1,2007-06-26,R&B,Rap,English,,,,,
50285,Hey Ya!,Postmodern Jukebox,2015,0,0,2016-03-22,Soul,Jazz,English,,,,,
15038,Hey You,Bachman-Turner Overdrive,1975,0,0,2017-03-22,Rock,English,,,,,,
42382,Hey You Beautiful,Olly Murs,2012,0,0,2013-02-06,Pop,English,,,,,,
45015,Hey You!,No Doubt,1995,0,0,2013-09-19,Rock,Alternative,Punk/Grunge,English,,,,
17962,"Hey, Good Lookin'","Hank Williams, Jr.",1951,0,0,2012-04-26,Country,English,,,,,,
8393,"Hey, Good Lookin'",Jimmy Buffett,2004,0,0,2011-07-16,Country,English,,,,,,
28793,"Hey, Mr. President",The Warren Brothers,2003,0,0,2011-12-26,Country,English,,,,,,
43400,"Hey, Pippi Langstrumpf",Pippi Longstocking,1973,0,0,2016-08-26,"TV & movie soundtrack,Kids",German,,,,,,
25349,"Hey, Soul Sister",Train,2009,0,0,2011-05-31,Soft rock,English,,,,,,
39468,"Hey, Soul Sister",Glee,2011,0,0,2012-03-09,"Pop,TV & movie soundtrack",English,,,,,,
47112,"Hey, That's No Way To Say Goodbye",Leonard Cohen,1967,0,0,2016-02-25,Folk,Love,English,,,,,
34038,"Hey, wir woll'n die Eisbärn sehn",Puhdys,1998,0,0,2015-01-27,Schlager,Pop,Rock,German,,,,
17356,Hey! Amigo Charly Brown,Jürgen Drews,2001,0,0,2016-06-06,Schlager,Dance,Humour,German,,,,
49602,Hey! Amigo Charly Brown,Dieter Thomas Kuhn,2007,0,0,2016-04-27,Schlager,Ska,Rock,Humour,German,,,
6902,Hey! Baby,Bruce Channel,1962,0,0,2011-05-30,Rock 'n Roll,English,,,,,,
51751,Hi De Hi Hi De Ho,Kool And The Gang,1982,0,0,2017-01-05,Funk,Disco,Pop,English,,,,
14114,Hi Ho Silver Lining,Jeff Beck,1967,0,0,2011-05-31,Pop,Rock,English,,,,,
23746,Hi Lili Hi Lo,Leslie Caron,1953,0,0,2011-05-31,Musical,English,,,,,,
29930,Hi-De-Ho,"Blood, Sweat And Tears",1970,0,0,2011-05-31,"Soft rock,Pop",English,,,,,,
5849,Hi-Heel Sneakers,Elvis Presley,1977,0,0,2011-05-31,"Rock 'n Roll,Oldies",English,,,,,,
7132,Hi-Heel Sneakers,Tommy Tucker,1964,0,0,2017-01-30,"Blues,Rock 'n Roll",English,,,,,,
16248,Hicktown,Jason Aldean,2005,0,0,2012-03-05,Country,Rock,English,,,,,
15424,Hidden Agenda,Craig David,2002,0,0,2013-12-03,Pop,R&B,English,,,,,
35368,Hidden Away,Josh Groban,2010,0,0,2011-05-31,Soft rock,English,,,,,,
24260,Hide,Creed,2002,0,0,2012-03-05,Rock,Alternative,Hard/Metal,English,,,,
50669,Hide Away,Daya,2015,0,0,2016-03-23,"Teen pop,Pop,R&B,Electro",English,,,,,,
54695,Hide the Wine,Carly Pearce,2017,0,0,2018-01-12,Country,English,,,,,,
46899,Hideaway,Kiesza,2014,0,0,2014-06-25,Pop,Electro,Dance,English,,,,
36783,Hiding My Heart,Adele,2011,0,0,2011-06-09,Pop,English,,,,,,
41886,Hier,Blof,2000,0,0,2012-12-12,Rock,Pop,Dutch,,,,,
34791,Hier à Sousse,Alain Bashung,2008,0,0,2016-02-24,"French pop,Alternative",French,,,,,,
20376,Hier encore,Charles Aznavour,1975,0,0,2011-07-29,French pop,French,,,,,,
36556,Hier encore,Les Enfoirés,1994,1,0,2011-09-19,"French pop,Duet",French,,,,,,
49728,Hier encore,Brigitte,2014,0,0,2016-12-14,French pop,French,,,,,,
27727,Hier encore,Dany Brillant,2009,0,0,2011-08-29,French pop,French,,,,,,
36003,Hier encore (duo),Charles Aznavour,2008,1,0,2012-11-06,"French pop,Duet",French,,,,,,
36390,Hier kommt Alex,Die Toten Hosen,1988,0,0,2016-06-05,Rock,Punk/Grunge,German,,,,,
16750,Hier Kommt Kurt,Frank Zander,1989,0,0,2018-03-07,Pop,Rock,Schlager,German,,,,
47060,Hier spricht dein Herz,Gregor Meyle,2014,0,0,2014-10-23,Pop,Folk,German,,,,,
30017,High,Lighthouse Family,1998,0,0,2015-01-23,Soul,Pop,English,,,,,
5374,High,James Blunt,2005,0,0,2011-12-26,"Soft rock,Pop",English,,,,,,
19827,High,David Hallyday,1988,0,0,2011-05-30,Pop,Rock,English,,,,,
48113,High Adventure,Aladdin (Musical),2011,0,0,2016-02-25,Musical,Kids,English,,,,,
49711,High By The Beach,Lana Del Rey,2015,0,0,2016-06-29,Pop,R&B,Electro,English,,,,
43731,High Class Lady,The Lennerockers,1995,0,0,2013-06-06,Rock 'n Roll,English,,,,,,
22724,High Cost Of Living,Jamey Johnson,2009,0,0,2012-02-22,Country,English,,,,,,
41876,High Cotton,Lisa McHugh,2016,0,0,2016-08-31,Country,English,,,,,,
13693,High Energy,Evelyn Thomas,1984,0,0,2016-06-06,Disco,Dance,English,,,,,
15464,High Enough,Damn Yankees,1990,0,0,2012-04-26,Rock,English,,,,,,
55945,High Hopes,Panic! At the Disco,2018,0,0,2018-08-21,Pop,English,,,,,,
17820,High Hopes,Frank Sinatra,1959,0,0,2011-10-03,Jazz,English,,,,,,
43556,High Hopes,Kodaline,2013,0,0,2014-01-17,Alternative,Rock,English,,,,,
55376,High Horse,Kacey Musgraves,2018,0,0,2018-04-24,Country,Alternative,English,,,,,
24261,High Maintenance Woman,Toby Keith,2007,0,0,2012-03-05,Country,Rock,English,,,,,
33419,High Noon,Frankie Laine,1952,0,0,2012-02-07,Oldies,Country,English,,,,,
51213,High on a Hilltop,Merle Haggard,1966,0,0,2016-06-07,Country,Folk,English,,,,,
13873,High on Emotion,Chris De Burgh,1984,0,0,2013-12-05,Pop,Rock,English,,,,,
35785,High Road Easy,Sass Jordan,1994,0,0,2011-12-26,Rock,English,,,,,,
43670,High School,Nicki Minaj,2013,0,1,2016-02-25,Rap,R&B,English,,,,,
54340,High School,Kelsea Ballerini,2017,0,0,2017-11-27,Pop,Country,English,,,,,
31938,High School Musical,High School Musical 3,2008,0,0,2015-03-27,"Musical,TV & movie soundtrack,Teen pop",English,,,,,,
49803,High Time,Kacey Musgraves,2015,0,0,2016-07-01,"Country,Soft rock",English,,,,,,
36191,High Time We Went,Joe Cocker,1971,0,0,2012-02-22,Rock 'n Roll,English,,,,,,
39620,High Voltage,AC/DC,1975,0,0,2013-05-13,Hard/Metal,Rock,English,,,,,
8817,Higher,Creed,1999,0,0,2011-12-19,Hard/Metal,English,,,,,,
35444,Higher,Taio Cruz,2010,0,0,2011-05-30,Dance,Pop,English,,,,,
42118,Higher,The Overtones,2012,0,0,2016-09-17,Pop,Rock,English,,,,,
33650,Higher,The Saturdays,2010,0,0,2011-05-31,Pop,Electro,English,,,,,
46146,Higher (Free),All About She,2013,0,0,2016-02-24,Electro,Pop,Dance,English,,,,
35138,Higher & Higher,Jimmy Cliff,1996,0,0,2015-04-21,Reggae,Pop,English,,,,,
26329,Higher Ground,Stevie Wonder,1973,0,0,2011-07-09,Funk,English,,,,,,
27421,Higher Ground,UB40,1993,0,0,2012-12-13,Reggae,Pop,English,,,,,
47558,Higher Ground,Red Hot Chili Peppers,1989,0,0,2014-09-22,Rock,Funk,Hard/Metal,English,,,,
26988,Higher Than This,Ledisi,2009,0,0,2011-06-30,R&B,English,,,,,,
35692,Higher Window,Josh Groban,2010,0,0,2011-07-16,"Pop,Soft rock",English,,,,,,
28840,Highway 20 Ride,Zac Brown Band,2009,0,0,2011-05-31,Country,English,,,,,,
47326,Highway 40 Blues,Ricky Skaggs,1983,0,0,2014-08-18,Country,English,,,,,,
43613,Highway Don't Care,Tim McGraw,2013,1,0,2013-05-29,Country,Duet,English,,,,,
29658,Highway Star,Deep Purple,1972,0,0,2012-11-16,Hard/Metal,English,,,,,,
12416,Highway To Hell,AC/DC,1979,0,0,2011-05-31,Hard/Metal,Rock,English,,,,,
46914,Highway To Hell,Glee,2010,0,0,2014-06-17,"TV & movie soundtrack,Rock,Hard/Metal",English,,,,,,
51773,Highway to Hell,Jazzkantine,2008,0,0,2016-10-21,Pop,Jazz,English,,,,,
50966,Highway To Hell,Texas Lightning,2005,0,0,2016-05-02,Country,Rock,English,,,,,
33751,Highway To Hell,Hayseed Dixie,2001,0,0,2011-05-31,Country,Humour,English,,,,,
37215,Highway Unicorn (Road to Love),Lady Gaga,2011,0,0,2013-06-11,Pop,Electro,Dance,English,,,,
38261,Highwayman,The Highwaymen,1985,0,0,2011-11-16,Country,English,,,,,,
38471,Hij speelde accordeon,Frans Duijts,2010,0,0,2013-02-26,Schlager,Dutch,,,,,,
43323,Hij was maar een clown,De Après Skihut,2008,0,0,2013-05-01,Schlager,Dutch,,,,,,
13633,Hijo de la luna,Mecano,1986,0,0,2011-05-31,Pop,80s,Spanish,,,,,
43393,Hijo de la luna,Sarah Brightman,2000,0,0,2013-04-22,Pop,Spanish,,,,,,
47644,Hijo de la luna (Acoustic),Mecano,2003,0,0,2014-10-30,Pop,Folk,Spanish,,,,,
25770,Hillbilly Bone,Blake Shelton,2009,1,0,2011-05-31,Country,Duet,English,,,,,
24729,Hillbilly Deluxe,Brooks & Dunn,2006,0,0,2011-05-31,Country,English,,,,,,
48679,Hillbilly Girl,Lisa McHugh,2014,0,0,2015-05-12,Country,Folk,English,,,,,
46371,Hillbilly Highway,Steve Earle,1986,0,0,2014-03-05,Country,English,,,,,,
6593,Hillbilly Rock,Marty Stuart,1989,0,0,2015-05-11,"Country,Rock 'n Roll",English,,,,,,
38029,Hillbilly Rock Hillbilly Roll,The Woolpackers,1996,0,0,2016-07-18,"Country,TV & movie soundtrack",English,,,,,,
9947,Hillbilly Shoes,Montgomery Gentry,1999,0,0,2017-09-27,Country,English,,,,,,
48872,Hills Of Donegal,Nathan Carter,2014,0,0,2015-04-16,Celtic,Pop,Folk,English,,,,
28024,Hillybilly Country Lilly,Truck Stop,1983,0,0,2011-05-30,Country,Schlager,German,,,,,
55419,Him & I,Halsey,2017,1,1,2018-05-10,Pop,R&B,Rap,Duet,English,,,
13181,Himalaya,C. Jérôme,1972,0,0,2012-04-05,French pop,French,,,,,,
19674,Himbeereis Zum Frühstück,Hoffmann & Hoffmann,1977,0,0,2016-06-04,Schlager,German,,,,,,
48977,Himbeereis zum Frühstück,Mickie Krause,2010,0,0,2016-12-01,Schlager,Dance,Electro,German,,,,
46674,Himbeereis zum frühstück,Michael Micheiloff,2010,0,0,2016-06-07,Schlager,Dance,German,,,,,
39791,Himmel auf,Silbermond,2012,0,0,2013-01-21,Pop,Rock,German,,,,,
48129,Himmel auf Erden,Andrea Berg,2013,0,0,2015-03-07,Schlager,German,,,,,,
51180,Himmelbett,Beatrice Egli,2013,0,0,2016-06-06,Schlager,Dance,Electro,German,,,,
53228,Himmelblaue Augen,Anna-Maria Zimmermann,2017,0,0,2017-06-27,Schlager,Dance,German,,,,,
40381,Hinterm Horizont geht's weiter,Hinterm Horizont,2011,1,0,2016-03-15,Musical,Duet,Pop,German,,,,
16134,Hip to Be Square,Huey Lewis & The News,1986,0,0,2011-12-12,Pop,Rock,English,,,,,
26475,Hip To My Heart,The Band Perry,2009,0,0,2011-05-31,"Pop,Country,Teen pop",English,,,,,,
31776,Hiphopopotamus vs Rhymenoceros,Flight of the Conchords,2005,0,0,2016-03-30,"Humour,Rap,TV & movie soundtrack",English,,,,,,
20274,Hipnotizadas,Lunae,2003,0,0,2015-06-10,Dance,Spanish,,,,,,
53895,Hippies & Cowboys,Cody Jinks,2010,0,0,2017-09-20,Country,English,,,,,,
15879,Hippy Hippy Shake,The Georgia Satellites,1988,0,0,2017-04-21,"Rock 'n Roll,Oldies,TV & movie soundtrack",English,,,,,,
33045,Hippy Hippy Shake,The Swinging Blue Jeans,1963,0,0,2011-12-22,Rock 'n Roll,English,,,,,,
7230,Hips Don't Lie,Shakira,2006,0,0,2012-05-09,Latin,Dance,Pop,English,,,,
21790,His Eye Is on the Sparrow,Lauryn Hill,1993,1,0,2011-05-30,"Soul,TV & movie soundtrack,Gospel,Love,Duet",English,,,,,,
14242,His Eye Is On The Sparrow,Mahalia Jackson,1951,0,0,2012-08-22,Gospel,English,,,,,,
25672,His Kind of Money (My Kind Of Love),Eric Church,2008,0,0,2012-02-07,Country,Rock,English,,,,,
28798,Histoire d'un amour,Dalida,1957,0,0,2011-12-09,French pop,French,,,,,,
12260,Histoire d'un amour,Dany Brillant,2007,0,0,2011-08-03,"French pop,Latin",French,,,,,,
19247,Histoire d'une absence,Léa Castel,2008,0,0,2016-02-25,R&B,French,,,,,,
46286,Histoire éternelle,Beauty And The Beast,1991,0,0,2015-03-20,"TV & movie soundtrack,Musical,French pop",French,,,,,,
48786,Histoire éternelle,Anaïs Delva,2015,0,0,2015-04-14,"French pop,Kids,Soft rock",French,,,,,,
26382,Historia De Un Amor,Luz Casal,2009,0,0,2011-08-03,Latin,Jazz,Spanish,,,,,
30647,Historia De Un Amor,Luis Miguel,2005,0,0,2011-05-31,Latin,Love,Pop,Spanish,,,,
34851,Historia De Un Amor,Chico & The Gypsies,2008,0,0,2011-12-19,World/Folk,Latin,Spanish,,,,,
51037,Historia de un amor,Zaz,2011,0,0,2017-04-18,Latin,Spanish,,,,,,
48934,Historia de un amor,Cesária Évora,2010,1,0,2015-04-18,World/Folk,Latin,Duet,Spanish,,,,
47742,Historia de un amor,Manuel Malou,1995,0,0,2014-11-14,Latin,Spanish,,,,,,
50620,History,One Direction,2015,0,0,2016-03-14,"Teen pop,Pop,Rock",English,,,,,,
38089,History,Tenacious D,2006,0,0,2013-07-04,"TV & movie soundtrack,Humour,Hard/Metal,Rock,Folk",English,,,,,,
54431,History Has Its Eyes on You,Hamilton,2015,0,0,2017-11-08,Musical,Pop,English,,,,,
25630,History In The Making,Darius Rucker,2009,0,0,2011-05-30,"Soft rock,Country",English,,,,,,
40127,History Is Made At Night,Smash,2012,0,0,2012-06-21,"TV & movie soundtrack,Musical,Pop,Jazz",English,,,,,,
29730,History Maker,Delirious?,1997,0,0,2016-02-25,Pop,Rock,Christian,English,,,,
28280,History Repeating,Shirley Bassey,1997,0,0,2011-05-31,Pop,Soul,Jazz,English,,,,
7958,Hit 'Em Up Style (Oops!),Blu Cantrell,2001,0,0,2011-05-30,R&B,English,,,,,,
48022,Hit Me Like A Man,The Pretty Reckless,2012,0,0,2014-12-10,Hard/Metal,Alternative,English,,,,,
30865,Hit Me Off,New Edition,1996,0,0,2011-11-25,Rap,80s,R&B,English,,,,
19069,Hit Me With Your Best Shot,Pat Benatar,1980,0,0,2011-12-21,Rock,English,,,,,,
43172,Hit Me With Your Best Shot / One Way Or Another,Glee,2011,0,0,2013-04-04,"TV & movie soundtrack,Rock,Pop",English,,,,,,
13675,Hit Me with Your Rhythm Stick,Ian Dury,1978,0,0,2011-11-16,Rock,Disco,English,,,,,
50798,Hit Medley (Live 2015),Helene Fischer,2015,0,0,2016-04-21,Schlager,German,,,,,,
25316,Hit My Heart,Benassi Bros,2004,0,0,2012-06-12,Dance,Electro,English,,,,,
40912,Hit Or Miss,Tom Jones,2012,0,0,2012-10-09,"Soft rock,Blues",English,,,,,,
24730,Hit That,The Offspring,2003,0,0,2012-02-07,Punk/Grunge,Rock,English,,,,,
9218,"Hit That Jive, Jack!",Diana Krall,1995,0,0,2011-05-31,Jazz,English,,,,,,
49039,Hit The Diff,Ritchie Remo,2015,0,0,2015-05-20,Country,Pop,English,,,,,
29788,Hit The Freeway,Toni Braxton,2003,0,0,2013-11-19,R&B,English,,,,,,
53659,Hit the Ground Runnin',Haley Reinhart,2012,0,0,2017-09-01,Pop,Rock,English,,,,,
27978,Hit The Ground Runnin',Keith Urban,2009,0,0,2011-05-31,Country,English,,,,,,
39665,Hit The Lights,Selena Gomez,2011,0,0,2012-06-17,Dance,Pop,English,,,,,
36354,Hit The Lights,Jay Sean,2011,0,0,2016-02-25,Dance,Rap,Pop,R&B,English,,,
6497,Hit The Road Jack,Ray Charles,1960,0,0,2007-05-04,"Blues,Rock 'n Roll,Soul",English,,,,,,
46264,Hit The Road Jack,The Overtones,2013,1,0,2014-03-19,"Rock 'n Roll,Oldies,Duet",English,,,,,,
29989,Hit The Road Jack,Hermes House Band,2004,0,0,2011-05-31,Pop,Dance,Jazz,English,,,,
38279,Hit The Road Jack,Renee Olstead,2009,0,0,2012-07-20,Jazz,English,,,,,,
25538,Hit The Road Jack,Shirley Horn,1993,0,0,2012-01-19,Jazz,Soul,English,,,,,
24480,Hit The Spot,Leslie Mendelson,2009,0,0,2012-01-11,Soft rock,English,,,,,,
32308,Hitchin' A Ride,Vanity Fare,1969,0,0,2014-12-08,Pop,Rock,English,,,,,
34032,Hitmix,Howard Carpendale,2003,0,0,2013-10-27,Pop,Schlager,German,,,,,
34035,Hitmix,Corry Konings,1991,0,0,2016-02-25,Schlager,Dance,Pop,Dutch,,,,
37809,Hitz,Chase & Status,2011,0,1,2016-02-25,Rap,English,,,,,,
41217,Ho Hey,The Lumineers,2012,0,0,2012-08-12,Folk,English,,,,,,
44796,Ho Hey,Nathan Carter,2013,0,0,2013-09-17,Celtic,Folk,Country,English,,,,
43748,Hoe,Nielson,2013,0,0,2013-07-08,Schlager,Dutch,,,,,,
22692,Hoedown Throwdown,Hannah Montana,2009,0,0,2016-02-08,"Teen pop,Country",English,,,,,,
27618,Hokey Cokey,Black Lace,1985,0,0,2011-10-03,Pop,English,,,,,,
7133,Hokey Pokey,Ray Anthony,1962,0,0,2016-07-01,Oldies,Pop,English,,,,,
31497,Hold Back The Night,The Trammps,1975,0,0,2015-11-16,Soul,Pop,English,,,,,
39150,Hold Back The Rain,Duran Duran,1982,0,0,2012-02-03,80s,Alternative,Rock,English,,,,
48195,Hold Back The River,James Bay,2014,0,0,2014-12-12,Pop,Rock,English,,,,,
49863,Hold Each Other,A Great Big World,2015,0,0,2016-06-08,Pop,Rap,English,,,,,
35807,Hold It Against Me,Britney Spears,2011,0,0,2011-05-30,Dance,Pop,English,,,,,
37374,Hold It Against Me,Sam Tsui,2011,0,0,2013-05-26,Pop,English,,,,,,
15906,Hold It Don't Drop It,Jennifer Lopez,2008,0,0,2012-02-07,Pop,Disco,Funk,English,,,,
48719,Hold Me,Anouk,2015,1,0,2015-03-10,Pop,Folk,Duet,English,,,,
48269,Hold Me,Fleetwood Mac,1981,0,0,2015-01-12,Pop,Folk,English,,,,,
