,title,artist,,,,,,,,,,,,
47729,Payback,Rascal Flatts,2014,0,0,2014-10-21,Country,English,,,,,,
40348,Payphone,Maroon 5,2012,0,1,2012-06-16,Pop,English,,,,,,
41766,PayPhone,Boyce Avenue,2012,0,0,2012-10-24,Pop,English,,,,,,
45851,Payphone (no rap),Maroon 5,2012,0,1,2013-12-17,Pop,English,,,,,,
23480,Peace,Depeche Mode,2009,0,0,2016-02-25,Electro,Alternative,80s,English,,,,
40291,Peace Frog,The Doors,1970,0,0,2013-08-30,Rock,Blues,English,,,,,
25611,Peace In The Valley,Gospel Singer,2005,0,0,2011-05-30,Gospel,Christian,English,,,,,
29181,Peace of Mind,Boston,1976,0,0,2011-05-31,Rock,English,,,,,,
38932,Peace on Earth/Little Drummer Boy,David Bowie,1977,1,0,2012-11-05,Christmas,Duet,English,,,,,
35494,Peace Train,Cat Stevens,1971,0,0,2012-01-18,Folk,Pop,English,,,,,
14467,Peaches,The Presidents Of The United States Of America,1995,0,0,2012-01-18,Alternative,Rock,English,,,,,
23761,Peaches 'N' Cream,The Ikettes,1965,0,0,2011-09-21,"Rock 'n Roll,Pop",English,,,,,,
29097,Peaches And Cream,112,2001,0,0,2013-12-03,R&B,English,,,,,,
47125,Peachy,Missy Higgins,2007,0,0,2014-07-16,"Pop,Soft rock,Alternative",English,,,,,,
54045,Peanut Vendor,Anita O'Day,1958,0,0,2017-10-02,Jazz,Latin,English,,,,,
20959,Pearl's A Singer,Elkie Brooks,1977,0,0,2011-10-08,Pop,Soul,Rock,English,,,,
24322,Pearls,Shannon Brown,2006,0,0,2012-06-07,Country,English,,,,,,
31990,Pearly Shells,Burl Ives,1955,0,0,2011-10-03,Oldies,Pop,English,,,,,
43792,Pedida perfeita (tararatata),Flavel & Neto,2013,0,0,2014-04-10,"Dance,Latin,French pop",French,Portuguese,,,,,
13427,Pedro va au Brésil,Phénoménal Club,1997,0,0,2018-02-12,"Dance,French pop,Latin",French,,,,,,
28816,Peel Me A Grape,Diana Krall,1999,0,0,2011-05-31,Love,Jazz,English,,,,,
18470,Peg,Steely Dan,1976,0,0,2014-03-31,"Soft rock,Funk,Jazz,Soul",English,,,,,,
29182,Peg O' My Heart,The Four Aces,1947,0,0,2011-05-30,Oldies,Jazz,English,,,,,
14670,Pégate,Ricky Martin,2006,0,0,2016-02-28,Latin,Pop,Spanish,,,,,
21855,Peggy,Samuli Edelmann,1991,0,0,2012-03-05,Pop,Reggae,Finnish,,,,,
7162,Peggy Sue,Buddy Holly,1957,0,0,2014-01-18,Rock 'n Roll,English,,,,,,
32547,Peggy Sue Got Married,Buddy Holly,1959,0,0,2016-07-01,"Rock 'n Roll,Oldies",English,,,,,,
25783,Pencil Full Of Lead,Paolo Nutini,2009,0,0,2011-05-30,Blues,Jazz,English,,,,,
53212,Pencil Full of Lead,Jimmy Buckley,2017,0,0,2017-06-14,Country,English,,,,,,
18201,Pencil Thin Mustache,Jimmy Buffett,1974,0,0,2013-02-27,Soft rock,English,,,,,,
37532,Pendant que les champs brûlent,Niagara,1990,0,0,2016-02-25,French pop,French,,,,,,
45842,Pendel,Yvonne Catterfeld,2013,0,0,2016-06-04,Pop,German,,,,,,
44410,Penguin,Christina Perri,2011,0,0,2013-07-31,Pop,English,,,,,,
17907,Pennies From Heaven,Frank Sinatra,1955,0,0,2013-07-01,Jazz,Oldies,English,,,,,
31729,Pennies From Heaven,1930s Standards,1936,0,0,2011-10-28,Oldies,Jazz,English,,,,,
52287,Pennies From Heaven,Paul Anka,2013,1,0,2017-02-02,Jazz,Pop,Duet,English,,,,
34258,Pennies From Heaven,Michael Bublé,2006,0,0,2011-05-31,Jazz,Pop,English,,,,,
48804,Pennsylvania 6-5000,The Andrews Sisters,1940,0,0,2015-03-25,Pop,Oldies,English,,,,,
27448,Pennsylvania Polka,Polka Forever,1981,0,0,2011-10-08,Traditionnal,English,,,,,,
52127,Pennsylvania Polka,The Andrews Sisters,1942,0,0,2017-01-19,Jazz,Oldies,Pop,English,,,,
31011,Penny Arcade,Roy Orbison,1969,0,0,2011-05-31,Rock,Pop,English,,,,,
14168,Penny Lane,The Beatles,1967,0,0,2011-08-22,Pop,English,,,,,,
13088,Penny Lover,Lionel Richie,1983,0,0,2011-05-31,Soul,Pop,Love,80s,English,,,
22359,Pensando en ti,Gilberto Santa Rosa,2007,0,0,2016-08-25,Soft rock,Spanish,,,,,,
16947,People,Barbra Streisand,1964,0,0,2012-06-28,"Musical,TV & movie soundtrack",English,,,,,,
25503,People Are Crazy,Billy Currington,2009,0,0,2011-05-31,Country,English,,,,,,
9976,People Are People,Depeche Mode,1984,0,0,2014-05-03,80s,English,,,,,,
6521,People Are Strange,The Doors,1967,0,0,2011-05-30,Rock,English,,,,,,
20576,People Everyday,Arrested Development,1991,0,0,2012-02-13,Rap,English,,,,,,
30841,People Get Ready,Eva Cassidy,1998,0,0,2011-10-19,Soul,Pop,English,,,,,
16146,People Get Ready,The Impressions,1965,0,0,2016-12-14,Soul,Oldies,English,,,,,
26629,People Get Ready,Jeff Beck,1985,0,0,2011-10-21,Soft rock,English,,,,,,
35606,People Get Ready,Seal,2008,0,0,2011-08-24,Soul,English,,,,,,
29821,People Got To Be Free,The Rascals,1968,0,0,2011-05-30,"Pop,Rock 'n Roll",English,,,,,,
38171,People Gotta Move,Gino Vannelli,1974,0,0,2011-11-01,Funk,Rock,Soul,English,,,,
38399,People Help the People,Birdy,2011,0,0,2012-07-03,Pop,English,,,,,,
43575,People Like Us,Kelly Clarkson,2013,0,0,2013-09-26,Pop,Dance,English,,,,,
47668,People Loving People,Garth Brooks,2014,0,0,2014-10-11,Country,English,,,,,,
39395,People Make The World Go Round,The Stylistics,1971,0,0,2012-08-13,Soul,English,,,,,,
6522,People Need The Lord,Steve Green,1984,0,0,2007-07-18,Gospel,Pop,English,,,,,
30131,People Say,The Dixie Cups,1964,0,0,2013-11-19,Pop,Oldies,English,,,,,
48510,Pepito,Los Machucambos,1960,0,0,2015-02-04,Latin,Spanish,,,,,,
10356,Pepito,Kid Creole And The Coconuts,1988,0,0,2015-01-12,Latin,Spanish,,,,,,
49177,Pepito,Cindy Daniel,2007,0,0,2015-06-04,Latin,Pop,Spanish,,,,,
5934,Peppermint Twist,Joey Dee and the Starliters,1961,0,0,2011-08-29,"Rock 'n Roll,Oldies",English,,,,,,
43348,Per colpa di chi,Zucchero,1995,0,0,2013-09-27,Pop,Funk,Italian,,,,,
43334,Per fare a meno di te,Giorgia,2008,0,0,2013-07-01,Soul,Pop,Italian,,,,,
39869,Per sempre,Nina Zilli,2012,0,0,2012-09-17,Pop,Italian,,,,,,
55738,Per spoor (Kedeng kedeng),Guus Meeuwis,1996,0,0,2018-07-06,Schlager,Dutch,,,,,,
37794,Per Te,Josh Groban,2003,0,0,2011-11-02,Classical,Pop,Italian,,,,,
34310,Per tutta la vita,Noemi,2010,0,0,2012-01-31,Pop,Soul,Italian,,,,,
20215,Perce les nuages,Isabelle Boulay,2002,0,0,2011-05-30,French pop,French,,,,,,
21996,Perché lo fai,Marco Masini,1991,0,0,2012-02-22,Soft rock,Italian,,,,,,
53456,Perché No,Lucio Battisti,1978,0,0,2017-07-18,Love,Italian,,,,,,
40458,Perdere l'amore,Massimo Ranieri,1988,0,0,2012-06-08,Pop,Love,Italian,,,,,
21997,Perdere l'amore,Lara Fabian,1997,0,0,2014-07-28,Pop,Italian,,,,,,
39828,Perdóname,Pablo Alborán,2011,0,0,2016-06-05,Pop,Love,Latin,Spanish,,,,
22862,Perdono,Tiziano Ferro,2001,0,0,2017-11-06,Pop,R&B,Italian,,,,,
20512,Père prodigue,Georges Chelon,1965,0,0,2014-10-06,French pop,French,,,,,,
21506,Pererê,Ivete Sangalo,2006,0,0,2012-02-22,Latin,Pop,Portuguese,,,,,
52796,Perfect,Ed Sheeran,2017,0,0,2017-04-19,Pop,Love,English,,,,,
24017,Perfect,Fairground Attraction,1988,0,0,2011-11-28,Pop,English,,,,,,
5744,Perfect,Simple Plan,2002,0,0,2007-05-04,Pop,Rock,English,,,,,
45863,Perfect,The Overtones,2012,0,0,2014-01-18,"Pop,Oldies,Rock 'n Roll",English,,,,,,
50302,Perfect,One Direction,2015,0,0,2016-02-25,"Teen pop,Pop",English,,,,,,
40285,Perfect,Boyce Avenue,2010,0,0,2012-05-25,Pop,English,,,,,,
30551,Perfect,Hedley,2010,0,0,2011-05-31,Pop,Rock,English,,,,,
5751,Perfect,Sara Evans,2003,0,0,2011-10-16,Country,English,,,,,,
45523,Perfect (Live Acoustic),Pink,2012,0,0,2013-12-11,"Soft rock,Pop",English,,,,,,
5481,Perfect 10,The Beautiful South,1998,0,0,2017-01-19,Rock,Alternative,Pop,English,,,,
6022,Perfect Day,Lou Reed,1972,0,0,2011-06-14,Rock,English,,,,,,
32614,Perfect Day,Lady Antebellum,2010,0,0,2011-05-30,Country,English,,,,,,
16112,Perfect Day,Hoku,2001,0,0,2012-03-05,Pop,Rock,English,,,,,
35758,Perfect Day,Susan Boyle,2010,0,0,2011-05-31,"Pop,Soft rock",English,,,,,,
46407,Perfect Days,Derek Ryan,2013,0,0,2014-04-09,Country,Pop,English,,,,,
54748,Perfect Duet,Ed Sheeran,2017,1,0,2017-12-23,Pop,Folk,Duet,English,,,,
55557,Perfect Duet,Postmodern Jukebox,2018,1,0,2018-06-19,Love,Pop,Duet,English,,,,
51803,Perfect Illusion,Lady Gaga,2016,0,0,2016-10-14,Pop,Electro,English,,,,,
52705,Perfect Life,Levina,2017,0,0,2017-04-03,Pop,English,,,,,,
43381,Perfect Love,Paul Carrack,1998,0,0,2013-04-30,Pop,English,,,,,,
44121,Perfect Moment,Martine McCutcheon,1999,0,0,2013-07-01,Pop,English,,,,,,
35224,Perfect Nightmare,Shontelle,2010,0,0,2016-02-25,Pop,R&B,English,,,,,
54244,Perfect Places,Lorde,2017,0,0,2017-11-15,Pop,Electro,English,,,,,
43125,Perfect Replacement,Example,2013,0,1,2016-02-25,Electro,Rap,Alternative,English,,,,
27260,Perfect Situation,Weezer,2006,0,0,2012-03-05,Rock,Pop,English,,,,,
49567,Perfect Storm,Brad Paisley,2014,0,0,2015-09-07,"Country,Soft rock,Rock",English,,,,,,
34156,Perfect Stranger,Magnetic Man,2010,0,0,2016-02-25,Electro,English,,,,,,
48851,Perfect Strangers,Deep Purple,1984,0,0,2015-03-26,Hard/Metal,English,,,,,,
51649,Perfect Strangers,Jonas Blue,2016,0,0,2016-10-07,Dance,Electro,English,,,,,
21755,Perfect Symmetry,Keane,2008,0,0,2013-11-12,Pop,Rock,English,,,,,
54865,Perfect Symphony,Ed Sheeran,2017,1,0,2018-02-02,Pop,Duet,Italian,English,,,,
40393,Perfect World,The Gossip,2012,0,0,2012-07-15,Alternative,Rock,English,,,,,
29183,Perfect World,Peter Cetera,2001,0,0,2012-04-29,Pop,Rock,English,,,,,
55797,Perfectly Wrong,Shawn Mendes,2018,0,0,2018-07-17,Pop,English,,,,,,
19343,Perfekte Welle,Juli,2004,0,0,2014-05-07,Pop,Rock,German,,,,,
40895,Perfidia,Nat King Cole,1959,0,0,2012-07-25,Jazz,Latin,Oldies,Spanish,,,,
29747,Perfidia,Luis Miguel,2001,0,0,2011-05-31,Latin,Pop,Love,Spanish,,,,
18668,Perfidia,Linda Ronstadt,1991,0,0,2012-09-18,Latin,Jazz,Spanish,,,,,
44646,Perfidia,Arielle Dombasle,2004,0,0,2013-09-10,Latin,Oldies,Jazz,Spanish,,,,
37577,Perform This Way,Weird Al Yankovic,2011,0,0,2011-09-23,Humour,Pop,Dance,English,,,,
45840,Perfume,Britney Spears,2013,0,0,2014-01-07,Pop,English,,,,,,
18243,Perhaps Love,John Denver,1975,1,0,2015-06-18,"Soft rock,Duet",English,,,,,,
23452,Perhaps Perhaps Perhaps,The Pussycat Dolls,2008,0,0,2011-05-30,Latin,R&B,English,,,,,
23951,"Perhaps, Perhaps, Perhaps",Doris Day,2009,0,0,2011-05-30,Latin,Oldies,Jazz,English,,,,
52163,Perm,Bruno Mars,2016,0,0,2017-01-13,Pop,Funk,R&B,English,,,,
26206,Permanent,David Cook,2008,0,0,2011-05-31,Pop,Rock,English,,,,,
31955,Permanent December,Miley Cyrus,2010,0,0,2011-05-30,"Teen pop,Dance",English,,,,,,
27097,Peroxide Swing,Michael Bublé,2003,0,0,2011-05-30,Jazz,English,,,,,,
53256,Perro Fiel,Shakira,2017,0,0,2017-07-07,Pop,Latin,Spanish,,,,,
22436,Perros perdidos,Rocío Jurado,2001,0,0,2014-08-13,Soft rock,Spanish,,,,,,
49250,Personal,Jessie J,2014,0,0,2015-07-01,Pop,R&B,Folk,English,,,,
12804,Personal Jesus,Depeche Mode,1989,0,0,2011-05-31,Rock,Alternative,Electro,English,,,,
39519,Personal Jesus,Johnny Cash,2002,0,0,2012-03-05,Country,English,,,,,,
43506,Personal Jesus,Marilyn Manson,2004,0,0,2013-04-21,Hard/Metal,Rock,Alternative,English,,,,
42427,Personal Jesus,Karen Souza,2006,0,0,2013-01-14,Jazz,Pop,English,,,,,
5935,Personality,Lloyd Price,1960,0,0,2011-06-28,"Rock 'n Roll,Oldies",English,,,,,,
34399,Personality,1940s Standards,1946,0,0,2011-05-31,Oldies,Jazz,English,,,,,
49954,Personne,Chimène Badi,2015,0,0,2016-12-23,French pop,French,,,,,,
36447,Personne n'est personne,Le Roi Soleil,2005,1,0,2012-10-02,"Musical,Duet,French pop",French,,,,,,
51385,Peter Pan,Kelsea Ballerini,2015,0,0,2016-06-24,Pop,Country,English,,,,,
13429,Petit Frank,François Feldman,1990,0,0,2016-10-01,French pop,French,,,,,,
36982,Petit garçon,Graeme Allwright,1968,0,0,2012-11-05,"Christmas,French pop,Kids",French,,,,,,
48003,Petit garçon,Garou,2014,1,0,2014-11-27,"Christmas,French pop,Duet",French,,,,,,
12475,Petit Gonzales,Danyel Gérard,1962,0,0,2011-06-09,"French pop,Rock 'n Roll,Humour",French,,,,,,
29433,Petit homme mort au combat,Daniel Balavoine,1985,0,0,2013-11-25,French pop,French,,,,,,
43835,Petit papa,Natasha St-Pier,2013,0,0,2013-07-05,French pop,French,,,,,,
14068,Petit Papa Noël,Tino Rossi,1946,0,0,2011-05-30,"Christmas,French pop",French,,,,,,
34797,Petit Papa Noël,Josh Groban,2007,0,0,2011-05-30,"Christmas,French pop",French,,,,,,
47929,Petit Papa Noël,Céline Dion,1994,1,0,2014-12-18,"Christmas,Duet,French pop",French,English,,,,,
50056,Petit Papa Noël,Florent Pagny,2000,0,0,2015-12-14,"Christmas,French pop",French,,,,,,
34503,Petit Papa Noël,Les 500 Choristes,2005,0,0,2011-05-31,Christmas,Gospel,French,,,,,
47940,Petit Papa Noël,Roch Voisine,2000,0,0,2014-11-26,"Christmas,French pop",French,,,,,,
33210,Petit Tom,Shy'm,2010,0,0,2011-09-20,"R&B,French pop",French,,,,,,
38458,Petite Angèle,Daniel Balavoine,1985,0,0,2013-11-25,French pop,French,,,,,,
43117,Petite Emilie,Keen'V,2012,0,0,2014-08-05,French pop,French,,,,,,
25121,Petite fille,Jean-Jacques Goldman,1989,0,0,2015-09-22,French pop,French,,,,,,
46459,Petite fille de province,Frank Michael,1996,0,0,2016-02-25,French pop,French,,,,,,
20422,Petite fille du soleil,Christophe,1976,0,0,2011-06-01,French pop,French,,,,,,
31435,Petite fleur,Henri Salvador,1959,0,0,2016-06-05,"Jazz,French pop",French,,,,,,
9677,Petite soeur,Lââm,2005,0,0,2016-10-01,R&B,French,,,,,,
32367,Petite soeur,Ben L'Oncle Soul,2010,0,0,2012-02-09,"Soul,French pop",French,,,,,,
20966,Peur de rien blues,Jean-Jacques Goldman,1989,0,0,2015-09-21,"French pop,Blues",French,,,,,,
21139,Peut-être une angine,Anaïs,2008,0,0,2013-09-09,"French pop,Humour",French,,,,,,
38721,Pfft You Were Gone,Buck Owens,1972,0,0,2013-01-07,Country,English,,,,,,
26337,Pflaster,Ich + Ich,2009,0,0,2016-01-21,Pop,Rock,German,,,,,
38988,Phänomen,Helene Fischer,2011,0,0,2012-07-20,Pop,Schlager,German,,,,,
50991,Phänomen (Live 2015),Helene Fischer,2015,0,0,2016-06-06,Schlager,German,,,,,,
39248,Phare de la lune (Latin Moon),Mia Martina,2011,0,0,2016-08-25,"Dance,French pop,Latin",French,,,,,,
35055,Phenomenon,LL Cool J,1997,0,0,2012-06-01,Rap,R&B,English,,,,,
26887,Phil Of The Future,TV Theme,2004,0,0,2012-10-15,TV & movie soundtrack,English,,,,,,
7525,Philadelphia Freedom,Elton John,1975,0,0,2011-10-31,Pop,Rock,English,,,,,
29822,Philadelphia Freedom (45 edit),Elton John,1975,0,0,2014-12-03,Rock,Pop,English,,,,,
24570,Phone Booth,Robert Cray,1983,0,0,2011-05-31,Rock,Blues,Funk,English,,,,
22496,Phonography,Britney Spears,2008,0,0,2011-05-31,Pop,Dance,Electro,English,,,,
47400,Photograph,Ed Sheeran,2014,0,0,2014-09-12,Pop,English,,,,,,
49819,Photograph,Boyce Avenue,2015,1,0,2016-03-10,Pop,Duet,English,,,,,
35253,Photograph,Def Leppard,1983,0,0,2016-06-05,Rock,80s,English,,,,,
21238,Photograph,Ringo Starr,1973,0,0,2014-04-02,Soft rock,English,,,,,,
33469,Photograph,Jamie Cullum,2005,0,0,2011-05-31,Pop,Jazz,English,,,,,
30785,Photograph,Weezer,2001,0,0,2012-03-28,Pop,Rock,English,,,,,
50020,Photograph (Felix Jaehn Remix),Ed Sheeran,2015,0,0,2015-12-03,Pop,Dance,Electro,English,,,,
29905,Photographs,Rihanna,2009,0,0,2011-05-30,Pop,R&B,English,,,,,
50638,Photographs And Memories,Jim Croce,1974,0,0,2017-11-03,"Folk,Soft rock,Country",English,,,,,,
19117,Physical,Olivia Newton-John,1981,0,0,2011-10-08,Pop,English,,,,,,
30678,Physical,Glee,2010,0,0,2011-05-30,"TV & movie soundtrack,Pop",English,,,,,,
45291,Piano,Ariana Grande,2013,0,0,2013-11-06,"Pop,Teen pop,R&B",English,,,,,,
32068,Piano & I (clean),Alicia Keys,2001,0,0,2011-09-18,Soul,R&B,English,,,,,
19332,Piano Man,Billy Joel,1973,0,0,2008-07-18,Soft rock,English,,,,,,
56056,Piccola stella senza cielo,Luciano Ligabue,1990,0,0,2018-09-06,Pop,Rock,Italian,,,,,
48082,Pick A Bale Of Cotton,Derek Ryan,2014,0,0,2014-12-08,Country,Traditionnal,English,,,,,
45471,Pick Me Up On Your Way Down,Merle Haggard,2007,1,0,2013-12-11,Country,Duet,English,,,,,
39946,Pick Me Up On Your Way Down,Martina McBride,2005,0,0,2012-11-13,Country,English,,,,,,
40400,Pick Up The Pieces,Average White Band,1974,0,0,2016-06-30,Funk,Instrumental,,,,,,
40198,Picking Up The Pieces,Paloma Faith,2012,0,0,2012-06-17,"Pop,Soul,Soft rock",English,,,,,,
9490,Pickup Man,Joe Diffie,1994,0,0,2016-11-21,Country,Folk,English,,,,,
50978,Picky,Joey Montana,2015,0,0,2016-04-18,Pop,Spanish,,,,,,
19330,Picture Of You,Boyzone,1998,0,0,2011-05-31,Teen pop,English,,,,,,
10090,Picture Postcards From L. A.,Joshua Kadison,1993,0,0,2011-09-19,Pop,Rock,English,,,,,
19926,Picture To Burn,Taylor Swift,2008,0,0,2011-05-31,Country,English,,,,,,
39422,Pictures In My Head,The Muppets,2011,0,0,2012-12-16,"TV & movie soundtrack,Kids",English,,,,,,
37915,Pictures of Lily,The Who,1967,0,0,2016-02-25,Rock,English,,,,,,
17290,Pictures Of You,The Last Goodnight,2007,0,0,2011-05-31,Pop,Rock,English,,,,,
34525,Pie Jesu,Sarah Brightman,2001,0,0,2011-05-30,Christian,Classical,English,,,,,
48882,Piece By Piece,Kelly Clarkson,2015,0,0,2015-04-28,Pop,Rock,English,,,,,
25889,Piece By Piece,Katie Melua,2006,0,0,2011-12-26,"Blues,Soft rock",English,,,,,,
50867,Piece By Piece (Live),Kelly Clarkson,2016,0,0,2016-03-22,Pop,English,,,,,,
13624,Piece of Me,Britney Spears,2007,0,0,2011-09-13,Pop,Electro,English,,,,,
18038,Piece Of My Heart,Janis Joplin,1968,0,0,2011-05-31,Soul,Rock,English,,,,,
10124,Piece of My Heart,Faith Hill,1994,0,0,2011-05-31,Country,English,,,,,,
33324,Piece of My Heart,Dusty Springfield,1968,0,0,2017-11-02,Soul,Pop,English,,,,,
34085,Piece Of My Heart,Shaggy,1997,0,0,2013-12-17,Reggae,Rap,Soul,English,,,,
31993,Piece Of My Heart,Tara Kemp,1990,0,0,2013-12-07,Pop,English,,,,,,
25198,Piece Of Work (Duet),Jimmy Buffett,2005,1,0,2012-03-11,Country,Duet,English,,,,,
51976,Pieces,Rob Thomas,2015,0,0,2016-11-10,Pop,Rock,Alternative,English,,,,
28974,Pieces,Sum 41,2005,0,0,2011-12-25,Rock,English,,,,,,
24323,Pieces,Rascal Flatts,2007,0,0,2012-06-07,Country,English,,,,,,
15476,Pieces,Dark New Day,2005,0,0,2018-01-22,Hard/Metal,Rock,English,,,,,
5388,Pieces of a Dream,Anastacia,2005,0,0,2011-05-30,Pop,Rock,English,,,,,
52691,Pieces of April,Three Dog Night,1972,0,0,2017-03-10,Soft rock,English,,,,,,
11502,Pieces Of Me,Ashlee Simpson,2004,0,0,2007-06-05,Pop,Rock,English,,,,,
7610,Pieces of My Life,Elvis Presley,1975,0,0,2018-06-23,"Country,Rock 'n Roll",English,,,,,,
21133,Pieni Murhapolttaja,Sanna Ja Lapset,1998,0,0,2013-12-07,Pop,Rock,Finnish,,,,,
39330,Piensa en mi,Roberto Alagna,2011,0,0,2012-02-07,"Latin,TV & movie soundtrack",Spanish,,,,,,
19832,Piensa en mí,Luz Casal,1992,0,0,2011-05-31,"TV & movie soundtrack,Latin",Spanish,,,,,,
38193,Pigalle,Georges Ulmer,1946,0,0,2016-02-25,"Oldies,French pop",French,,,,,,
40638,Pigalle la blanche,Bernard Lavilliers,1981,0,0,2016-06-05,"French pop,Reggae",French,,,,,,
34772,Piggies,The Beatles,1968,0,0,2012-03-11,Pop,English,,,,,,
12470,Pile ou face,Corynne Charby,1987,0,0,2012-02-15,"French pop,80s",French,,,,,,
9185,Pilgrim,Eric Clapton,1998,0,0,2016-10-05,Soft rock,English,,,,,,
41598,Pillow Talk,Joss Stone,2012,0,0,2012-11-08,Soul,English,,,,,,
51495,Pillow Talk,Boyce Avenue,2016,0,0,2016-09-01,Pop,Love,English,,,,,
50699,Pillowtalk,Zayn Malik,2016,0,0,2016-03-24,Pop,Electro,R&B,English,,,,
47255,Pills N Potions,Nicki Minaj,2014,0,0,2014-08-13,Pop,Rap,R&B,English,,,,
5486,Pinball Wizard,The Who,1969,0,0,2011-05-30,"Rock,TV & movie soundtrack",English,,,,,,
31576,Pink,Aerosmith,1997,0,0,2017-04-12,Rock,Alternative,English,,,,,
11298,Pink Cadillac,Bruce Springsteen,1984,0,0,2013-04-20,"Rock,Rock 'n Roll,Blues",English,,,,,,
11352,Pink Cadillac,Natalie Cole,1987,0,0,2014-06-28,Pop,English,,,,,,
39260,Pink Cigarette,Mr. Bungle,1999,0,0,2013-05-02,Alternative,Pop,English,,,,,
24324,Pink Flamingos,Tracy Byrd,1995,0,0,2012-04-23,Country,English,,,,,,
